i,j,k,C_ijk
26115830300,26115831300,26163563900,4.320448619565996
26163566700,26163570400,26163590401,-4.318054689888133
26125137102,26161402201,26161406000,4.317948917695636
26099221100,26125171000,26125181300,4.317713044923222
26161407000,26163564401,26163565301,4.315639518059953
26093742403,26161400500,26161404600,4.314673088497159
26147649000,26163517200,26163558301,4.314485631603057
26125141400,26125162000,26125183500,-4.3140079119024985
26093742403,26161447000,26163517500,-4.31390400947916
26161402201,26161404600,26163543200,4.313871162835757
26099223402,26125183500,26147644000,-4.313443403036752
26125161100,26147622000,26147643000,4.312098077965982
26163555100,26163560400,26163570400,-4.309085520583713
26099221100,26125141500,26161404600,-4.305977416032685
26099226700,26163552000,26163579900,4.302448199489184
26163517500,26163567100,26163567300,-4.300817661202785
26099215000,26125141400,26125183500,4.300809433618362
26099226700,26125183500,26147644000,-4.300694731186981
26099255700,26099260000,26099261100,-4.2995633413574925
26099240700,26147622000,26147643000,4.298738165639277
26099263200,26163561600,26163564503,-4.298724244032476
26125170000,26125171000,26125172500,-4.296415022268711
26115831600,26115833800,26163590401,4.296332082635241
26093742403,26125168700,26125183500,-4.295149184810002
26115831400,26161414500,26163587900,4.294653356672491
26125197701,26161402201,26161406000,4.294371359259847
26093742202,26125168400,26163538500,-4.293900219765366
26125168700,26147655600,26147657200,4.292360794409501
26125168700,26163517500,26163520200,-4.291597927182973
26147650100,26163552000,26163985200,4.290206975604011
26125197702,26163562800,26163579900,-4.289818132406762
26099231400,26099262200,26147625001,-4.288838947132675
26163530200,26163533900,26163985700,-4.288269264776289
26125167400,26163569300,26163586201,-4.286801282271173
26099262300,26125140800,26125168700,-4.283178173592784
26163574000,26163576500,26163590401,4.282070511952085
26115830300,26115833800,26163558301,-4.280966623783038
26099261900,26099262100,26125160300,4.279228913236027
26125138100,26125162000,26163501600,4.278465600645326
26115830300,26115833800,26163985700,-4.278153509620894
26099258700,26163562800,26163579900,-4.274151034153516
26115830300,26147631600,26163596100,4.270538870662495
26125160800,26125161900,26163517500,4.269219971193603
26125133101,26125152000,26163562800,-4.2690811519046274
26099223902,26163517500,26163567100,-4.267633438577061
26125130200,26125139400,26125152000,4.265826068414481
26125166700,26163564200,26163587900,-4.265048193985651
26115831400,26163533900,26163587900,4.263062665349866
26099263200,26125166800,26163561200,-4.261272394085336
26125168700,26163582100,26163587900,-4.2594903715670425
26115832800,26163524700,26163595100,-4.257232873294047
26093713300,26125131400,26125131800,-4.254291945220327
26099225200,26099225300,26125197701,4.254042055969578
26125133102,26125134900,26161403600,4.253231283282522
26115831600,26115833800,26163587000,4.251455873896125
26099224102,26099262700,26099262800,-4.251249061692552
26161410200,26163561700,26163588400,4.250479898679433
26125161100,26147622000,26147655100,4.2488609315968
26163562500,26163573600,26163587900,-4.2466605345362325
26125981500,26161410200,26163561700,4.245099757221779
26161400100,26161404500,26163588101,4.242749893476887
26125137102,26163562700,26163573600,-4.241550639451127
26099215202,26099242003,26125136602,-4.241184053464917
26125142500,26125156200,26163532600,-4.240214183377269
26099226700,26099258200,26125192400,4.2385943084908675
26125139400,26125152000,26163588001,4.238030824803655
26099982200,26125141400,26125183500,4.233091532433261
26163566700,26163577900,26163590401,-4.232310770517284
26099262300,26125161000,26125197701,4.231437841937913
26115831400,26125161000,26163587900,4.230074459844278
26163573501,26163590401,26163590600,-4.227435017136956
26125152900,26161402201,26161404600,4.2272504930951476
26163558301,26163569900,26163573000,4.22476126263631
26125183500,26163520800,26163533100,-4.2239793410577615
26099268400,26125132600,26125183800,4.223712641318686
26093744200,26125127700,26125170000,-4.223123453886263
26099254500,26125141400,26125183500,4.222719442514888
26093722300,26093740800,26093743700,4.2217664851101535
26099226700,26125141400,26125183500,4.220693936652003
26125138600,26161466000,26163587900,4.220242611883769
26099230800,26099267600,26125181300,4.218715278045905
26147623000,26147634100,26147658100,4.217229067622675
26093725101,26093744800,26125168700,-4.216609967707826
26125137102,26161406000,26163579900,-4.216140397345127
26099263600,26125194600,26125196800,-4.2146261390925615
26125197702,26147625001,26147644000,4.210515385563445
26163517500,26163567100,26163573501,-4.208929239884343
26163577900,26163580400,26163590401,4.207881768272156
26147622000,26147655100,26163983903,4.207058657683512
26125183000,26161402201,26161404600,4.204992576073472
26099263600,26125180000,26125196800,-4.204693595096344
26163561700,26163584200,26163587900,-4.204242559112221
26099254100,26161404600,26163551400,4.204149505612869
26099221100,26125141500,26125144400,-4.202709265755683
26125168400,26161403600,26161980102,-4.202516670453694
26115830300,26115833800,26125196500,-4.201008744000354
26161402201,26161406000,26163569200,4.200318948998677
26125153100,26163574000,26163590401,-4.200119141112943
26125132100,26161465002,26163572100,4.1992832606069195
26125143500,26161402201,26161406000,4.193793053431004
26093724001,26099218001,26125124500,4.193137654862694
26099256400,26115833300,26125981500,-4.192926085305498
26125167300,26125168400,26163516500,-4.192503506165544
26099256000,26147657200,26163505700,-4.192401407183466
26093730102,26125132600,26163564502,4.191547059864172
26163578000,26163578600,26163584100,-4.189359982460092
26099215202,26099225900,26161404500,-4.188238850129945
26099228000,26125160300,26125196000,4.1879926907780805
26099214500,26099215201,26099242001,4.186829005359144
26099221100,26163558301,26163573000,-4.186565196224182
26163520200,26163552801,26163579900,-4.186563929976262
26093721100,26093725101,26093744800,-4.186137153405868
26161400500,26161404600,26163983800,4.1858336804844765
26125127000,26125128200,26125128500,-4.184960093417753
26125136101,26163517500,26163567100,-4.184812881502476
26099223901,26099245300,26125193400,-4.183185916891241
26163594000,26163596200,26163599001,4.1818942932387895
26099255800,26099982300,26125168400,4.181520329727386
26163520200,26163579900,26163591600,4.18055232154092
26099224001,26163509100,26163517300,4.17530206167442
26125168601,26125197600,26163562800,-4.173680102049828
26125150500,26125196100,26147620000,-4.1713871566664045
26093744200,26125137102,26163558400,4.171373182676586
26163517500,26163567100,26163591700,-4.167494037590909
26099254100,26161455000,26163985400,4.167247297051383
26115831600,26163579900,26163595100,4.166579458554034
26115830300,26163517200,26163563900,4.165561017246696
26125127300,26125136000,26125191200,4.164350932543389
26099230901,26099233000,26099241800,4.163678708717992
26163517500,26163520200,26163574900,-4.1635201097336765
26161402201,26161404600,26163517000,4.162573642219001
26099224001,26125150000,26125194000,4.162093846343618
26115830300,26115833800,26125197400,-4.160330976178866
26115830300,26115833800,26163983302,-4.160291594115673
26099262300,26125140800,26125157500,-4.153746923073512
26099221100,26099263600,26147629000,4.1521998232423485
26125166000,26125196000,26147650100,-4.151466282206692
26115830802,26125981500,26163561700,-4.149418866630033
26115830300,26115833800,26163561700,-4.149212621194609
26099227300,26125159000,26161405600,-4.148981229907792
26125133102,26147649000,26163517200,4.147720676604254
26099263200,26163561200,26163562800,4.147018113897771
26099255800,26099982300,26125136000,4.146466240179718
26099241800,26161400500,26161404600,4.14643525556656
26125130700,26125135200,26125166900,-4.146233247958544
26163517500,26163520200,26163556500,-4.141749246271335
26125160900,26125183500,26147644000,-4.141451002011362
26161406000,26161413403,26163561700,4.140727057127886
26099254100,26161404600,26163532600,4.139670495681529
26125154500,26147643000,26163520800,4.137957426532296
26099225900,26161402201,26161404600,4.137320689813897
26125122200,26125123100,26125144400,-4.135593364273084
26099216000,26125133102,26147637100,4.135536922731825
26099262700,26099262800,26125173000,-4.133180302189538
26161455000,26163566900,26163587000,-4.1329241136333374
26125168700,26163582100,26163586201,-4.132548040647277
26093724001,26163510600,26163983800,4.132317102982907
26163517200,26163525800,26163558301,-4.131547231897825
26125197600,26161444000,26163562800,4.1312965669801915
26125167300,26161402201,26161404600,4.129767832528208
26163520700,26163580100,26163591502,-4.129506127957736
26099221100,26147629000,26163983800,-4.129497240408403
26099221100,26099263900,26125167400,4.129192116925447
26125162200,26163587000,26163589300,4.128961702288478
26161405300,26161455000,26163587000,4.128879654976055
26163562800,26163587000,26163589300,4.12828859207883
26125150500,26163520800,26163552801,-4.12801569810671
26093730101,26161407000,26161455000,-4.126345054780485
26125168700,26163558301,26163983301,-4.126333424979001
26125144701,26125150100,26125173100,-4.124517375640177
26093730102,26125132600,26125981400,4.124116345645795
26099223401,26161402201,26161404600,4.122860606876667
26099231900,26125184000,26125184100,4.122101065629359
26161423400,26163558400,26163562600,-4.121607439485057
26099263600,26125156900,26163520200,-4.121142082438285
26163520200,26163552801,26163586201,-4.118752154836715
26125144600,26161402201,26161405300,4.118617273824161
26163561600,26163562400,26163564503,4.116548450973461
26125126200,26125127500,26125130400,-4.116282928763249
26093740300,26161400100,26161423400,4.114489013495455
26125160900,26147637100,26147655100,4.114374949639231
26125130700,26125166000,26125196000,-4.114101674684058
26161406000,26161415400,26163579900,4.113894023959018
26125154500,26147646000,26163520800,4.113529232916991
26125139400,26125152000,26125157800,4.113289646311528
26163562900,26163583200,26163586201,-4.112470476962142
26125168700,26161402201,26161405300,4.111930853680919
26125160300,26125196000,26163572600,4.110587838697292
26099220002,26147641000,26147651600,4.110460733802488
26125133101,26125167000,26161404600,-4.110323077248558
26161404600,26163584200,26163587900,-4.109310245865732
26125152000,26161402201,26161404600,4.1076995820454805
26093743900,26161410200,26163561700,4.106544424053823
26161402201,26161406000,26163586300,4.1063900845220935
26099223802,26099263500,26125160500,-4.106309739462986
26115831700,26163520800,26163585800,4.104660766015652
26093740300,26125161000,26161461000,4.104376207165297
26125162000,26125183500,26147655100,-4.10266247534652
26125167300,26163567100,26163567300,-4.10262906052712
26115830300,26115833800,26163986502,-4.102256815426593
26099225200,26099241800,26125139400,4.100865694768064
26099224202,26099230000,26125191000,-4.100125498510991
26161423400,26161980102,26163542100,-4.099330877486016
26115831100,26115833500,26125161100,-4.098615019786636
26099240000,26099247301,26125198100,4.098259280818418
26163552400,26163566500,26163586201,4.097242203534042
26115831700,26163520800,26163587900,4.096641609458541
26115830300,26115833800,26163524500,-4.096503869330649
26099223500,26125181200,26125196800,-4.095841487076607
26125127500,26125175100,26125193300,4.094140053864406
26163509100,26163517300,26163590401,4.093224804740942
26163558301,26163558400,26163983301,4.092428911947935
26099215202,26125167000,26125180100,4.092379471629622
26125168700,26163561600,26163569600,4.092080102365579
26163560400,26163566500,26163586201,4.091201255133281
26115830200,26115832400,26163585800,-4.090549035476197
26093742403,26125136300,26163517500,-4.089587302642005
26099215202,26099226400,26125167000,-4.0895684242665835
26125128300,26125140500,26125145700,-4.0861715879863425
26099225200,26099230902,26125196000,4.086083740862151
26093740800,26163556400,26163557901,-4.082794633415255
26099215202,26125197600,26147634600,4.082132473709837
26099240000,26125161600,26125190200,4.080319432371451
26125181100,26125197900,26163985100,-4.080243780875919
26125138600,26125139400,26163587900,4.079582811290028
26115832500,26125160300,26161404600,-4.0783702589366415
26125167900,26125196000,26125197600,-4.078290954886365
26125197702,26147621000,26147644000,4.077331161060709
26125168400,26125172400,26163554700,-4.074534673545896
26099245300,26161444000,26163562800,4.074187740423669
26099221100,26125141500,26125150100,-4.0724581940816105
26115830801,26161402201,26161406000,4.071754332749354
26125138100,26163558301,26163573000,-4.071115324075096
26125138100,26125162000,26163558301,4.069985755373559
26099228100,26147623000,26147646000,4.069876669609489
26161980300,26163567800,26163585600,-4.069547426513871
26093744200,26125167000,26161404600,-4.068237753583013
26163558301,26163573000,26163573501,-4.067987278731139
26163564900,26163574000,26163590401,-4.067022201095547
26125132100,26125136800,26161465002,-4.0669318939053225
26099220003,26099254100,26161404600,4.065793898293725
26125181200,26163574000,26163590401,-4.065724419774268
26093744200,26125197701,26161454002,4.0650497545610165
26093724001,26093743800,26125136601,-4.064931721780257
26115831201,26163566700,26163590401,4.06327242535057
26163558301,26163581101,26163983301,4.062643609659275
26147644000,26163517200,26163558301,4.062256508383229
26093724001,26099227300,26161405600,4.061728000886719
26099231200,26099254100,26161455000,4.061476227495746
26099231800,26125181600,26125192200,-4.060556145667106
26125160300,26163572600,26163588400,-4.059169833516856
26099212000,26099222105,26099255100,-4.058991871858902
26099262700,26161402201,26161404600,4.05802174433061
26099241200,26147629000,26163985700,-4.056991223222924
26125193100,26125196300,26161402201,-4.055247491395731
26099217000,26125183500,26147644000,-4.055196759064167
26099206700,26099242500,26147642000,-4.053990116243605
26125162000,26125183500,26163534200,-4.052296443164662
26099241900,26099254100,26161404600,4.052295781400365
26099221100,26099263900,26163505100,4.05216168210487
26115832500,26161404600,26163532600,4.052112322493718
26093742403,26161446400,26163517500,-4.0520132467409
26093740300,26125136700,26163591700,-4.051951330295571
26099263700,26163558301,26163573000,-4.050581262154987
26125197400,26161402201,26161405300,4.049549425952671
26125197702,26147622000,26147651200,4.049505756614172
26093744800,26125142700,26163562800,-4.049125419828024
26093724001,26099225500,26125124500,4.0481043286279945
26125141500,26125150100,26125166100,-4.047543826330104
26099220002,26099227300,26099241900,4.046486243287681
26093740200,26163517200,26163561700,4.0462120705823565
26099231800,26099267600,26125198100,4.046194946575715
26161402201,26161404600,26163517200,4.044722593907169
26115831202,26163561700,26163587900,4.0433454848860695
26115830200,26115831600,26163587000,-4.042179851476876
26125136000,26163517500,26163520200,-4.0415631819046105
26163517500,26163520200,26163540600,-4.040529133172821
26115831202,26161413200,26161413403,-4.038635055429687
26161980102,26163542100,26163556100,-4.0382497455241
26099215202,26125134900,26125136602,-4.037746271774976
26099215000,26099241200,26125150500,-4.036815649783849
26163517500,26163567100,26163570500,-4.03488883828629
26163509100,26163590401,26163983902,-4.034308313358467
26163563300,26163564900,26163575200,4.034185246631917
26125144701,26125150100,26125197701,-4.034129587239959
26163517500,26163520800,26163567100,4.03390086963088
26161411900,26161455000,26163566700,-4.0332582650017
26099240700,26099254100,26099254500,-4.032849520476324
26125136500,26125167900,26125168400,4.0326674859786635
26125137102,26125161000,26163573600,-4.032093355897995
26125168800,26125194300,26125196300,4.030627995438532
26099230300,26125181600,26125196100,4.0293336148830114
