geoid,R,W,Fii
26099230501,2966,1433,0
26099230502,6202,126,0
26099230602,873,2243,0
26099230603,582,1415,0
26099230604,288,1327,0
26099230700,328,1825,0
26099230800,982,1775,0
26099230901,959,1895,0
26099230902,233,1115,0
26099231000,43,1727,0
26099231100,201,1453,0
26099231200,830,1497,0
26099231400,1041,2041,0
26099231500,307,1769,0
26099231600,1050,1734,0
26099231700,694,2156,0
26099231800,4243,1522,0
26099231900,790,2260,0
26099232000,341,857,0
26099232100,526,2362,0
26099232200,819,2043,0
26099232301,627,1807,0
26099232400,1173,1982,0
26099232500,196,1807,0
26099233000,203,2256,0
26099240000,6062,1527,0
26099240300,564,1637,0
26099240400,636,1941,0
26099240500,49,934,0
26099240601,936,1476,0
26099240602,1106,1460,0
26099240700,1283,1657,0
26099240801,76,593,0
26099240802,25,1859,0
26099240900,609,781,0
26099241000,755,1749,0
26099241200,1023,1846,0
26099241300,489,1002,0
26099241400,351,1319,0
26099241500,361,1347,0
26099241600,510,1166,0
26099241700,503,1765,0
26099241800,1974,2070,0
26099241900,1647,1870,0
26099242001,1392,556,0
26099242002,319,581,0
26099242003,312,1000,0
26099242100,367,1139,0
26099242500,3241,2627,0
26099243000,1045,1849,0
26099243501,95,1250,0
26099243502,913,1846,0
26099244000,145,1026,0
26099245000,641,1059,0
26099245100,1583,1457,0
26099245200,1757,756,0
26099245300,4296,1737,0
26099245400,3283,638,0
26099247100,1128,332,0
26099247201,124,1771,0
26099247202,108,1232,0
26099247301,149,1869,0
26099247302,215,663,0
26099247400,89,940,0
26099247500,335,726,0
26099247601,84,693,0
26099247602,80,1870,0
26099250000,194,1003,0
26099250100,15,939,0
26099250200,321,1185,0
26099250300,509,1279,0
26099250400,150,642,0
26099250500,263,942,0
26099250600,55,1164,0
26099250700,848,1176,0
26099250800,575,1263,0
26099250900,212,1068,0
26099251000,230,702,0
26099251100,512,859,0
26099251200,1167,1289,0
26099251300,699,1029,0
26099251400,123,1329,0
26099251500,713,822,0
26099251600,415,1321,0
26099251700,2065,1092,0
26099251800,519,1675,0
26099251900,856,1277,0
26099252000,603,1100,0
26099252100,230,979,0
26099252200,217,1120,0
26099254000,3510,695,0
26099254100,1423,1751,0
26099254200,784,1770,0
26099254500,1383,1728,0
26099255000,2073,1798,0
26099255100,1468,1365,0
26099255200,1266,1489,0
26099255300,820,1499,0
26099255400,2369,1107,0
26099255500,1103,728,0
26099255600,129,1376,0
26099255700,645,725,0
26099255800,519,1041,0
26099255900,138,757,0
26099256000,1758,878,0
26099256100,53,1030,0
26099256200,321,744,0
26099256300,430,824,0
26099256400,53,692,0
26099256500,59,707,0
26099256600,672,1260,0
26099256700,72,769,0
26099256800,17,737,0
26099258000,268,1127,0
26099258100,890,1562,0
26099258200,437,1147,0
26099258300,465,1048,0
26099258400,560,1988,0
26099258500,244,836,0
26099258600,350,1722,0
26099258700,207,1046,0
26099258800,127,1563,0
26099258900,231,1096,0
26099260000,280,1310,0
26099260100,170,1231,0
26099260200,630,1030,0
26099260300,95,1265,0
26099260400,900,1647,0
26099260600,761,1109,0
26099260700,983,1140,0
26099260800,387,1085,0
26099260900,734,1713,0
26099261000,796,1653,0
26099261100,3623,1934,0
26099261200,606,1183,0
26099261300,480,1289,0
26099261400,248,1190,0
26099261500,222,1368,0
26099261601,114,648,0
26099261700,3012,978,0
26099261800,290,1235,0
26099261900,439,1184,0
26099262000,379,1439,0
26099262100,2431,345,0
26099262200,1404,1723,0
26099262300,5328,1622,0
26099262400,1926,1151,0
26099262500,1725,2074,0
26099262600,988,1005,0
26099262700,646,2081,0
26099262800,3346,973,0
26099262900,622,1534,0
26099263200,2224,1009,0
26099263400,1719,1501,0
26099263500,1494,1549,0
26099263600,572,1764,0
26099263700,476,1782,0
26099263800,181,1025,0
26099263900,706,1242,0
26099264000,607,725,0
26099264200,266,1477,0
26099267600,1115,626,0
26099268000,775,2019,0
26099268100,4254,924,0
26099268200,1262,1663,0
26099268300,644,1037,0
26099268400,6940,1172,0
26099980000,1902,60,0
26099980100,987,66,0
26099982001,7572,54,0
26099982002,9723,61,0
26099982100,55,60,0
26099982200,8082,69,0
26099982300,18918,74,0
26115830100,260,1027,0
26115830200,744,2079,0
26115830300,3488,1201,0
26115830400,368,1321,0
26115830500,256,1285,0
26115830600,104,1023,0
26115830700,592,1171,0
26115830801,1581,1610,0
26115830802,236,891,0
26115830900,71,877,0
26115831000,147,1074,0
26115831100,569,973,0
26115831201,76,1176,0
26115831202,1009,1227,0
26115831300,599,1637,0
26115831400,2269,2213,0
26115831500,1044,1024,0
26115831600,2295,1037,0
26115831700,1826,1390,0
26115831800,823,447,0
26115831900,1513,491,0
26115832000,121,645,0
26115832100,672,984,0
26115832200,760,656,0
26115832300,724,1491,0
26115832400,1283,1344,0
26115832500,728,1471,0
26115832600,45,662,0
26115832700,35,880,0
26115832800,306,1360,0
26115832900,459,1200,0
26115833000,486,985,0
26115833100,431,1120,0
26115833200,132,975,0
26115833300,615,1365,0
26115833500,1216,1067,0
26115833600,394,767,0
26115833700,150,648,0
26115833800,338,1247,0
26115833900,477,1052,0
26125120000,171,1018,0
26125120300,184,1235,0
26125121000,599,1331,0
26125121400,610,1664,0
26125121500,1233,1448,0
26125121700,336,2047,0
26125121800,200,1891,0
26125122200,131,1385,0
26125122400,109,2332,0
26125122700,375,1177,0
26125122900,258,685,0
26125123000,185,919,0
26125123100,246,1100,0
26125124000,300,1710,0
26125124500,702,1850,0
26125125000,170,1057,0
26125125600,77,914,0
26125126200,197,982,0
26125126300,769,1747,0
26125126400,373,1334,0
26125126500,201,1137,0
26125127000,208,2279,0
26125127100,673,1886,0
26125127200,612,663,0
26125127300,1095,1771,0
26125127400,48,739,0
26125127500,2809,2359,0
26125127600,444,1839,0
26125127700,689,2265,0
26125128000,126,1405,0
26125128100,424,1041,0
26125128200,56,1302,0
26125128300,459,1908,0
26125128400,2460,1475,0
26125128500,333,1264,0
26125128600,394,1409,0
26125128700,186,908,0
26125128800,909,776,0
26125128900,1797,2842,0
26125129000,2264,1175,0
26125130000,549,1359,0
26125130100,567,981,0
26125130200,227,2147,0
26125130300,236,1598,0
26125130400,232,1255,0
26125130500,816,1358,0
26125130600,78,1234,0
26125130700,527,2641,0
26125131100,351,916,0
26125131300,1385,1872,0
26125131400,208,935,0
26125131500,124,1601,0
26125131600,68,960,0
26125131800,1067,1448,0
26125132100,1847,2371,0
26125132500,612,1391,0
26125132600,3000,1544,0
26125132700,1108,1267,0
26125133001,1133,1233,0
26125133002,101,1465,0
26125133003,237,1796,0
26125133101,991,1829,0
26125133102,10320,671,0
26125134000,644,2046,0
26125134300,498,2038,0
26125134400,2269,1928,0
26125134500,2213,1579,0
26125134600,268,1757,0
26125134700,864,1490,0
26125134800,2166,1192,0
26125134900,1008,1766,0
26125135000,32,1339,0
26125135100,1424,2246,0
26125135200,909,1533,0
26125135300,144,2108,0
26125136000,7608,1155,0
26125136101,2949,2184,0
26125136102,1221,2114,0
26125136300,2040,1893,0
26125136500,279,2295,0
26125136601,3454,1820,0
26125136602,8466,1492,0
26125136700,2923,2229,0
26125136800,2182,1827,0
26125137101,1749,1556,0
26125137102,1980,2956,0
26125137400,515,2504,0
26125137700,493,714,0
26125137800,359,1258,0
26125138100,942,2434,0
26125138301,132,1803,0
26125138302,674,3002,0
26125138600,4515,1383,0
26125139201,247,1451,0
26125139202,996,1293,0
26125139400,2550,1974,0
26125140101,3859,692,0
26125140301,60,1706,0
26125140303,1285,1403,0
26125140500,6621,1026,0
26125140600,1382,965,0
26125140700,604,1155,0
26125140800,1469,2110,0
26125140900,636,1049,0
26125141001,1172,983,0
26125141002,257,943,0
26125141100,120,983,0
26125141200,66,919,0
26125141300,173,1155,0
26125141400,1640,1428,0
26125141500,1260,1757,0
26125141600,1003,1355,0
26125141700,768,800,0
26125142000,42,772,0
26125142100,374,463,0
26125142200,2272,771,0
26125142300,8525,599,0
26125142400,331,1043,0
26125142500,1859,643,0
26125142600,829,1200,0
26125142700,4108,1255,0
26125143500,408,2133,0
26125144100,1609,1694,0
26125144200,164,1693,0
26125144301,102,1523,0
26125144400,2129,1895,0
26125144500,851,1111,0
26125144600,387,1529,0
26125144701,1696,1147,0
26125144800,747,1020,0
26125144900,615,1519,0
26125145100,58,921,0
26125145200,71,1370,0
26125145300,218,1682,0
26125145400,861,1581,0
26125145501,358,1527,0
26125145502,358,1469,0
26125145600,690,1826,0
26125145700,490,1033,0
26125145900,948,1009,0
26125150000,433,1831,0
26125150100,3944,1416,0
26125150200,1817,1016,0
26125150300,1499,1919,0
26125150400,131,1127,0
26125150500,2166,1093,0
26125150600,1495,1030,0
26125150700,320,1606,0
26125150800,1946,1525,0
26125150900,2164,1258,0
26125151000,754,1794,0
26125152000,6721,1387,0
26125152600,1492,1340,0
26125152700,720,1060,0
26125152900,3727,1625,0
26125153000,212,942,0
26125153100,3330,856,0
26125153200,2746,776,0
26125153300,606,1431,0
26125154000,521,738,0
26125154100,82,1204,0
26125154200,569,1070,0
26125154500,641,831,0
26125154600,90,1228,0
26125156000,263,1034,0
26125156100,965,1862,0
26125156200,322,2601,0
26125156300,428,1540,0
26125156400,245,1519,0
26125156500,753,1625,0
26125156900,3650,1151,0
26125157000,286,829,0
26125157100,512,757,0
26125157200,673,1350,0
26125157300,148,1208,0
26125157400,1218,962,0
26125157500,820,953,0
26125157600,248,1743,0
26125157700,593,875,0
26125157800,1473,1175,0
26125157900,789,1039,0
26125158000,1082,1344,0
26125158100,793,1191,0
26125158200,371,1466,0
26125159000,9437,1418,0
26125160000,1708,1595,0
26125160300,10832,1084,0
26125160400,2490,1206,0
26125160500,1900,1680,0
26125160600,1727,1973,0
26125160700,209,694,0
26125160800,2471,1477,0
26125160900,9217,1681,0
26125161000,3575,1070,0
26125161100,4796,1302,0
26125161200,914,1983,0
26125161300,396,1537,0
26125161400,726,1065,0
26125161500,1369,820,0
26125161600,19053,1143,0
26125161700,1501,1165,0
26125161800,3432,1555,0
26125161900,1804,868,0
26125162000,4953,1379,0
26125162100,1615,1231,0
26125162200,6348,513,0
26125162300,1752,1489,0
26125162400,376,927,0
26125162500,3995,1448,0
26125165000,1854,1380,0
26125165100,1690,1785,0
26125165200,440,1779,0
26125166000,6621,1012,0
26125166100,1968,1174,0
26125166200,291,1255,0
26125166400,163,1464,0
26125166500,1057,1389,0
26125166600,1836,1327,0
26125166700,2926,1017,0
26125166800,389,1422,0
26125166900,471,1508,0
26125167000,9915,2209,0
26125167300,2311,1466,0
26125167400,3178,2030,0
26125167500,961,2448,0
26125167800,195,2107,0
26125167900,172,1127,0
26125168100,520,1072,0
26125168400,7393,1656,0
26125168500,155,1165,0
26125168601,190,1188,0
26125168602,768,1481,0
26125168700,11733,1772,0
26125168800,2036,1136,0
26125168901,231,1505,0
26125168902,664,1188,0
26125170000,1418,1225,0
26125170100,226,1366,0
26125170200,470,1643,0
26125170300,800,1365,0
26125170400,667,1720,0
26125171000,1364,1706,0
26125171100,102,1591,0
26125171200,86,1053,0
26125171300,335,1203,0
26125171400,734,2333,0
26125171500,1103,1752,0
26125171600,2222,827,0
26125172400,560,864,0
26125172500,947,841,0
26125173000,2143,2121,0
26125173100,770,846,0
26125173200,510,1228,0
26125173300,93,718,0
26125173400,1314,2449,0
26125173500,625,1228,0
26125173600,1249,766,0
26125175000,547,1110,0
26125175100,851,1679,0
26125175200,715,1487,0
26125175300,254,1462,0
26125180000,857,1324,0
26125180100,961,1418,0
26125180200,671,1782,0
26125180300,705,1259,0
26125181001,3248,1528,0
26125181100,3643,1323,0
26125181200,2918,2598,0
26125181300,1732,2314,0
26125181400,710,1322,0
26125181500,549,1090,0
26125181600,2470,2049,0
26125183000,1905,1873,0
26125183100,357,1978,0
26125183200,85,1506,0
26125183300,965,1403,0
26125183400,960,1201,0
26125183500,13646,1070,0
26125183600,600,1815,0
26125183700,233,2394,0
26125183800,901,2165,0
26125183900,539,1177,0
26125184000,677,1318,0
26125184100,515,1259,0
26125184200,445,1889,0
26125184300,183,1345,0
26125184400,1714,1263,0
26125184500,3791,1069,0
26125184600,778,1631,0
26125184700,34,866,0
26125187000,334,1237,0
26125188001,554,1562,0
26125188100,307,1045,0
26125190200,372,1628,0
26125190400,178,1362,0
26125190500,417,975,0
26125190700,481,1925,0
26125190800,267,1353,0
26125191000,2288,853,0
26125191100,1146,1151,0
26125191200,2784,1958,0
26125191300,96,1557,0
26125192000,1397,2393,0
26125192200,348,2250,0
26125192400,1268,1924,0
26125192500,128,1170,0
26125192700,349,1225,0
26125193000,121,1313,0
26125193100,2174,1487,0
26125193300,1168,1920,0
26125193400,1055,1813,0
26125193500,155,1369,0
26125193600,154,1190,0
26125193700,1347,1976,0
26125194000,1708,2393,0
26125194100,817,1368,0
26125194200,2884,935,0
26125194300,1752,1718,0
26125194400,614,1447,0
26125194500,3240,501,0
26125194600,2668,1947,0
26125196000,5097,2387,0
26125196100,570,2441,0
26125196200,1216,1446,0
26125196300,1972,1532,0
26125196400,587,1475,0
26125196500,13529,1941,0
26125196600,129,975,0
26125196700,2591,1143,0
26125196800,6303,1554,0
26125196900,5790,1461,0
26125197000,2900,1841,0
26125197100,492,1121,0
26125197200,1119,1510,0
26125197300,522,1853,0
26125197400,19588,958,0
26125197500,4945,1617,0
26125197600,11299,934,0
26125197701,7445,1932,0
26125197702,8398,1009,0
26125197900,237,1540,0
26125198000,364,1526,0
26125198100,3410,862,0
26125981000,0,70,0
26125981100,311,74,0
26125981200,3394,72,0
26125981300,3287,302,0
26125981400,7198,106,0
26125981500,28542,156,0
26125981600,1175,68,0
26147620000,2873,1393,0
26147621000,130,1210,0
26147622000,1387,1447,0
26147623000,717,1076,0
26147624000,1245,483,0
26147625001,1910,551,0
26147626001,586,742,0
26147627000,350,1093,0
26147628000,441,1280,0
26147629000,577,855,0
26147630100,1639,546,0
26147630400,322,2019,0
26147631100,247,654,0
26147631600,709,702,0
26147632000,139,1241,0
26147633100,45,1208,0
26147633200,99,1006,0
26147634100,217,1400,0
26147634600,597,2201,0
26147635000,328,2316,0
26147636000,1708,1369,0
26147637100,747,1513,0
26147637200,1025,1519,0
26147637300,2243,885,0
26147640100,185,958,0
26147640200,314,1073,0
26147640600,319,1019,0
26147641000,1028,1436,0
26147642000,2456,2181,0
26147643000,874,1308,0
26147644000,1056,1559,0
26147645000,195,1295,0
26147646000,713,1747,0
26147647000,164,1138,0
26147648000,84,355,0
26147649000,786,1575,0
26147650100,1109,1549,0
26147650200,253,477,0
26147651100,264,843,0
26147651200,850,883,0
26147651600,254,1632,0
26147652100,50,911,0
26147652600,87,1218,0
26147655100,723,1429,0
26147655600,129,1224,0
26147657100,291,698,0
26147657200,236,1851,0
26147658100,146,931,0
26147658500,201,1469,0
26147989000,163,125,0
26161400100,7874,441,0
26161400300,304,382,0
26161400400,258,994,0
26161400500,615,741,0
26161400600,705,1504,0
26161400700,2164,835,0
26161400800,245,520,0
26161402100,349,839,0
26161402201,28513,538,0
26161402300,725,743,0
26161402500,785,790,0
26161402601,160,468,0
26161402700,1356,1852,0
26161403100,225,645,0
26161403200,790,1272,0
26161403300,1345,1566,0
26161403400,185,1205,0
26161403500,789,1216,0
26161403600,1568,1453,0
26161403800,65,1096,0
26161404100,341,1193,0
26161404200,443,712,0
26161404300,264,1047,0
26161404400,258,851,0
26161404500,2703,1300,0
26161404600,6056,1642,0
26161405100,464,753,0
26161405200,574,1622,0
26161405300,1269,1642,0
26161405400,1430,866,0
26161405500,786,841,0
26161405600,2885,1538,0
26161406000,9696,1364,0
26161407000,1847,1929,0
26161407400,122,2176,0
26161407600,226,1405,0
26161410100,471,1182,0
26161410200,2901,1095,0
26161410300,896,1520,0
26161410400,909,1523,0
26161410500,315,838,0
26161410600,352,845,0
26161410700,532,528,0
26161410800,763,655,0
26161410900,207,750,0
26161411000,353,865,0
26161411200,95,921,0
26161411700,115,1028,0
26161411900,775,1376,0
26161412000,543,1381,0
26161412100,100,1347,0
26161412300,83,1028,0
26161412600,5,1157,0
26161412700,640,1997,0
26161413000,151,1471,0
26161413200,760,2025,0
26161413401,63,2006,0
26161413402,91,2416,0
26161413403,1967,816,0
26161414000,328,1116,0
26161414200,1135,1126,0
26161414300,676,1061,0
26161414500,569,1306,0
26161414700,2497,795,0
26161414900,789,1504,0
26161415200,176,1056,0
26161415400,3682,896,0
26161415600,2683,1027,0
26161415800,606,1278,0
26161416000,360,1343,0
26161416200,336,1987,0
26161420000,600,1477,0
26161420200,97,1161,0
26161421100,434,1661,0
26161422201,167,1463,0
26161422202,1148,1473,0
26161423400,3265,2431,0
26161423600,530,1124,0
26161425000,523,1590,0
26161426001,69,901,0
26161426002,71,826,0
26161431000,506,1733,0
26161432000,397,1695,0
26161444000,348,2531,0
26161445000,97,1010,0
26161446200,1403,824,0
26161446400,1780,1248,0
26161447000,257,1261,0
26161448000,290,1542,0
26161453000,690,1915,0
26161454001,861,549,0
26161454002,1800,1547,0
26161455000,3029,1895,0
26161456000,3469,2200,0
26161461000,414,2734,0
26161464000,1031,2298,0
26161465001,144,871,0
26161465002,843,1622,0
26161466000,428,1027,0
26161980101,642,460,0
26161980102,19514,256,0
26161980200,702,61,0
26161980300,452,192,0
26161980400,23,31,0
26161980500,50,205,0
26161980600,0,158,0
26161984000,1782,69,0
26163500100,62,970,0
26163500200,634,802,0
26163500300,64,576,0
26163500400,77,193,0
26163500500,30,384,0
26163500600,72,713,0
26163500700,56,974,0
26163500800,10,731,0
26163500900,111,981,0
26163501000,18,801,0
26163501100,95,836,0
26163501200,21,383,0
26163501300,50,741,0
26163501400,177,1104,0
26163501500,130,1154,0
26163501600,5329,548,0
26163501700,596,576,0
26163501800,117,1313,0
26163501900,4,685,0
26163502000,27,606,0
26163502600,44,776,0
26163502700,235,516,0
26163503100,193,872,0
26163503200,157,725,0
26163503300,24,852,0
26163503400,175,242,0
26163503500,102,746,0
26163503600,48,378,0
26163503900,71,457,0
26163504000,11,325,0
26163504100,70,291,0
26163504200,78,436,0
26163504300,43,438,0
26163504400,52,349,0
26163505100,702,780,0
26163505200,82,806,0
26163505400,32,480,0
26163505600,441,1111,0
26163505700,2460,777,0
26163505800,1705,776,0
26163506100,191,510,0
26163506200,447,510,0
26163506300,932,550,0
26163506400,596,254,0
26163506500,45,587,0
26163506600,243,743,0
26163506700,210,381,0
26163506800,197,1089,0
26163506900,39,925,0
26163507000,76,693,0
26163507100,35,618,0
26163507200,23,272,0
26163507300,36,578,0
26163507400,87,637,0
26163507500,104,617,0
26163508000,421,290,0
26163508100,259,368,0
26163509000,867,514,0
26163509100,451,1061,0
26163510600,147,1260,0
26163511200,345,363,0
26163511300,48,500,0
26163511400,594,526,0
26163511900,1746,497,0
26163512800,362,597,0
26163513200,56,412,0
26163513300,48,650,0
26163513700,493,721,0
26163513800,226,542,0
26163513900,22,372,0
26163514100,43,445,0
26163514200,71,452,0
26163514300,651,506,0
26163514500,1,224,0
26163515200,408,371,0
26163515300,1252,715,0
26163515400,522,466,0
26163515700,407,939,0
26163516000,46,612,0
26163516400,279,300,0
26163516500,2161,817,0
26163516600,374,560,0
26163516700,98,868,0
26163516800,212,219,0
26163516900,32,543,0
26163517000,509,891,0
26163517100,257,564,0
26163517200,40013,856,0
26163517300,2699,658,0
26163517500,11731,649,0
26163518000,1466,752,0
26163518900,3807,455,0
26163519000,473,310,0
26163519100,216,250,0
26163519200,507,404,0
26163519300,396,312,0
26163520200,6227,541,0
26163520300,2145,708,0
26163520400,122,552,0
26163520700,11196,1003,0
26163520800,19500,463,0
26163521100,688,428,0
26163521400,872,484,0
26163521500,1126,394,0
26163521800,122,333,0
26163521900,279,678,0
26163522000,587,469,0
26163522300,20,304,0
26163522400,547,258,0
26163522500,448,344,0
26163522800,778,340,0
26163523100,830,313,0
26163523200,399,561,0
26163523300,63,539,0
26163523400,279,535,0
26163523800,409,682,0
26163524001,148,475,0
26163524101,225,579,0
26163524200,247,727,0
26163524300,69,455,0
26163524500,1295,80,0
26163524600,2152,316,0
26163524700,450,819,0
26163524800,53,671,0
26163525400,48,373,0
26163525700,80,753,0
26163525800,189,343,0
26163525900,403,518,0
26163526000,1153,511,0
26163526100,371,521,0
26163526200,38,532,0
26163526300,80,468,0
26163526400,259,289,0
26163526500,85,409,0
26163527900,210,442,0
26163530100,377,729,0
26163530200,1191,911,0
26163530300,521,388,0
26163530400,46,317,0
26163530500,53,639,0
26163530800,187,345,0
26163530900,15,396,0
26163531100,48,262,0
26163531200,54,728,0
26163531300,173,295,0
26163531400,31,350,0
26163531501,18,319,0
26163531502,188,228,0
26163531600,63,426,0
26163531700,127,403,0
26163531800,130,414,0
26163531900,44,232,0
26163532100,145,624,0
26163532400,25,456,0
26163532600,12785,526,0
26163532700,31,173,0
26163533000,192,375,0
26163533100,113,381,0
26163533200,12,313,0
26163533300,58,378,0
26163533400,31,563,0
26163533600,8,354,0
26163533800,30,464,0
26163533900,12327,1030,0
26163534100,131,438,0
26163534200,8,774,0
26163534300,42,331,0
26163534400,38,364,0
26163534700,54,888,0
26163534800,485,544,0
26163535000,129,647,0
26163535100,135,428,0
26163535200,146,533,0
26163535300,524,1065,0
26163535600,38,981,0
26163535700,32,362,0
26163535800,219,1002,0
26163536100,134,843,0
26163536200,199,580,0
26163536300,73,676,0
26163536400,82,547,0
26163536500,330,555,0
26163536600,566,679,0
26163536700,36,298,0
26163536800,117,463,0
26163536900,258,854,0
26163537000,195,756,0
26163537100,265,521,0
26163537200,268,174,0
26163537300,55,616,0
26163537500,18,778,0
26163537600,307,959,0
26163537700,35,745,0
26163537800,178,453,0
26163538100,139,750,0
26163538200,73,682,0
26163538300,220,646,0
26163538400,253,1172,0
26163538500,211,1400,0
26163538600,88,1420,0
26163538700,819,1110,0
26163538800,72,531,0
26163538900,313,1043,0
26163539000,197,803,0
26163539100,70,507,0
26163539200,382,1310,0
26163539300,120,1129,0
26163539400,240,1100,0
26163539500,2445,888,0
26163539600,110,985,0
26163539700,87,597,0
26163540100,91,930,0
26163540200,58,896,0
26163540300,102,1046,0
26163540400,124,722,0
26163540500,61,1013,0
26163540600,81,1026,0
26163540700,299,887,0
26163540800,69,682,0
26163540900,374,981,0
26163541000,374,996,0
26163541100,29,813,0
26163541200,434,581,0
26163541300,367,909,0
26163541400,272,769,0
26163541500,266,1004,0
26163541700,130,736,0
26163541800,63,709,0
26163542100,202,1252,0
26163542200,181,1051,0
26163542300,163,631,0
26163542400,28,760,0
26163542500,107,770,0
26163542600,228,913,0
26163542900,488,1090,0
26163543000,160,684,0
26163543100,22,838,0
26163543200,264,936,0
26163543300,1445,997,0
26163543400,18,932,0
26163543500,10,372,0
26163543700,18,492,0
26163543900,452,264,0
26163544000,93,838,0
26163544100,12,757,0
26163544200,14,478,0
26163544300,277,678,0
26163544800,57,503,0
26163545100,83,318,0
26163545200,26,744,0
26163545500,296,889,0
26163545600,163,1009,0
26163545700,200,730,0
26163545800,99,1171,0
26163545900,306,884,0
26163546000,49,715,0
26163546100,227,1068,0
26163546201,44,989,0
26163546301,61,607,0
26163546600,9,529,0
26163546700,60,788,0
26163547000,322,826,0
26163547100,400,1236,0
26163547200,833,916,0
26163550100,165,1517,0
26163550200,539,1652,0
26163550300,155,1472,0
26163550400,2871,749,0
26163550500,369,1534,0
26163550600,979,1018,0
26163550700,1700,2183,0
26163550800,238,691,0
26163550900,399,1013,0
26163551100,962,2060,0
26163551200,1259,1870,0
26163551300,733,1758,0
26163551400,1305,1847,0
26163551500,160,1035,0
26163551600,157,1474,0
26163551700,117,1445,0
26163551800,720,1602,0
26163552000,457,1045,0
26163552100,437,1274,0
26163552200,175,1027,0
26163552300,533,961,0
26163552400,528,796,0
26163552801,418,1009,0
26163553000,2027,347,0
26163553100,26,436,0
26163553200,175,255,0
26163553601,54,617,0
26163553800,87,437,0
26163554100,746,1643,0
26163554200,1121,1227,0
26163554300,286,1938,0
26163554400,270,1222,0
26163554500,450,1120,0
26163554600,237,1512,0
26163554700,466,1428,0
26163554800,870,1485,0
26163554900,1118,1399,0
26163555100,979,1851,0
26163555300,1254,1410,0
26163555401,289,1137,0
26163555500,455,1284,0
26163555600,199,1195,0
26163556100,1610,1410,0
26163556200,652,1070,0
26163556300,1174,1418,0
26163556400,708,1763,0
26163556500,14899,882,0
26163556600,386,1479,0
26163556700,335,1117,0
26163556800,453,804,0
26163556900,251,1554,0
26163557000,572,1294,0
26163557100,462,1135,0
26163557200,983,857,0
26163557300,653,969,0
26163557400,166,1431,0
26163557500,634,1689,0
26163557600,1749,1295,0
26163557700,614,1953,0
26163557901,2856,1871,0
26163558000,2142,1863,0
