geoid,year,rho_H,rho_W,In,Out
04013093105,2020,0.0,0.0,0.0,1.0
04013103210,2020,0.0,0.0,0.0,1.0
04013103217,2020,0.0,0.0,0.0,1.0
04013103219,2020,0.0,0.0,0.0,1.0
04013103302,2020,0.0,0.0,0.0,1.0
04013103900,2020,0.0,0.0,0.0,1.0
04013104000,2020,0.0,0.0,0.0,1.0
04013104219,2020,0.0,0.0,0.0,1.0
04013104223,2020,0.0,0.0,0.0,1.0
04013104226,2020,0.0,0.0,0.0,1.0
04013104301,2020,0.0,0.0,0.0,1.0
04013105004,2020,0.0,0.0,0.0,1.0
04013105101,2020,0.0,0.0,0.0,1.0
04013105800,2020,0.0,0.0,0.0,2.0
04013105900,2020,0.0,0.0,0.0,1.0
04013106300,2020,0.0,0.0,0.0,1.0
04013106802,2020,0.0,0.0,0.0,1.0
04013107002,2020,0.0,0.0,0.0,1.0
04013107403,2020,0.0,0.0,0.0,1.0
04013108100,2020,0.0,0.0,0.0,1.0
04013108501,2020,0.0,0.0,0.0,1.0
04013108902,2020,0.0,0.0,0.0,2.0
04013109002,2020,0.0,0.0,0.0,1.0
04013109401,2020,0.0,0.0,0.0,1.0
04013110100,2020,0.0,0.0,0.0,1.0
04013110400,2020,0.0,0.0,0.0,1.0
04013110600,2020,0.0,0.0,0.0,1.0
04013110801,2020,0.0,0.0,0.0,1.0
04013111201,2020,0.0,0.0,0.0,1.0
04013111601,2020,0.0,0.0,0.0,1.0
04013111700,2020,0.0,0.0,0.0,1.0
04013112518,2020,0.0,0.0,0.0,1.0
04013112524,2020,0.0,0.0,0.0,1.0
04013112700,2020,0.0,0.0,0.0,1.0
04013113301,2020,0.0,0.0,0.0,1.0
04013115600,2020,0.0,0.0,0.0,1.0
04013116202,2020,0.0,0.0,0.0,2.0
04013116605,2020,0.0,0.0,0.0,1.0
04013116606,2020,0.0,0.0,0.0,1.0
04013116611,2020,0.0,0.0,0.0,1.0
04013116612,2020,0.0,0.0,0.0,1.0
04013116710,2020,0.0,0.0,0.0,1.0
04013116719,2020,0.0,0.0,0.0,2.0
04013116721,2020,0.0,0.0,0.0,1.0
04013116725,2020,0.0,0.0,0.0,1.0
04013116728,2020,0.0,0.0,0.0,1.0
04013116729,2020,0.0,0.0,0.0,1.0
04013116737,2020,0.0,0.0,0.0,1.0
04013216816,2020,0.0,0.0,0.0,1.0
04013216819,2020,0.0,0.0,0.0,1.0
04013216822,2020,0.0,0.0,0.0,1.0
04013216829,2020,0.0,0.0,0.0,1.0
04013216833,2020,0.0,0.0,0.0,2.0
04013216835,2020,0.0,0.0,0.0,1.0
04013216839,2020,0.0,0.0,0.0,1.0
04013216845,2020,0.0,0.0,0.0,1.0
04013216854,2020,0.0,0.0,0.0,1.0
04013216855,2020,0.0,0.0,0.0,1.0
04013216902,2020,0.0,0.0,0.0,1.0
04013217502,2020,0.0,0.0,0.0,1.0
04013218200,2020,0.0,0.0,0.0,1.0
04013318501,2020,0.0,0.0,0.0,1.0
04013319103,2020,0.0,0.0,0.0,2.0
04013319202,2020,0.0,0.0,0.0,1.0
04013319403,2020,0.0,0.0,0.0,1.0
04013319404,2020,0.0,0.0,0.0,1.0
04013319600,2020,0.0,0.0,0.0,1.0
04013319906,2020,0.0,0.0,0.0,1.0
04013320007,2020,0.0,0.0,0.0,1.0
04013420104,2020,0.0,0.0,0.0,1.0
04013420107,2020,0.0,0.0,0.0,2.0
04013420112,2020,0.0,0.0,0.0,1.0
04013420113,2020,0.0,0.0,0.0,1.0
04013420206,2020,0.0,0.0,0.0,1.0
04013420214,2020,0.0,0.0,0.0,2.0
04013420705,2020,0.0,0.0,0.0,1.0
04013420707,2020,0.0,0.0,0.0,1.0
04013420708,2020,0.0,0.0,0.0,1.0
04013421002,2020,0.0,0.0,0.0,1.0
04013421302,2020,0.0,0.0,0.0,2.0
04013421304,2020,0.0,0.0,0.0,1.0
04013421601,2020,0.0,0.0,0.0,1.0
04013421602,2020,0.0,0.0,0.0,1.0
04013421902,2020,0.0,0.0,0.0,1.0
04013422001,2020,0.0,0.0,0.0,1.0
04013422102,2020,0.0,0.0,0.0,1.0
04013422213,2020,0.0,0.0,0.0,1.0
04013422217,2020,0.0,0.0,0.0,1.0
04013422221,2020,0.0,0.0,0.0,1.0
04013422301,2020,0.0,0.0,0.0,1.0
04013422304,2020,0.0,0.0,0.0,1.0
04013422307,2020,0.0,0.0,0.0,1.0
04013422503,2020,0.0,0.0,0.0,1.0
04013422508,2020,0.0,0.0,0.0,2.0
04013422609,2020,0.0,0.0,0.0,1.0
04013422625,2020,0.0,0.0,0.0,1.0
04013422627,2020,0.0,0.0,0.0,1.0
04013422629,2020,0.0,0.0,0.0,1.0
04013422630,2020,0.0,0.0,0.0,1.0
04013422637,2020,0.0,0.0,0.0,1.0
04013422642,2020,0.0,0.0,0.0,2.0
04013422648,2020,0.0,0.0,0.0,1.0
04013422650,2020,0.0,0.0,0.0,1.0
04013523006,2020,0.0,0.0,0.0,2.0
04013523007,2020,0.0,0.0,0.0,1.0
04013610201,2020,0.0,0.0,0.0,1.0
04013610302,2020,0.0,0.0,0.0,1.0
04013610500,2020,0.0,0.0,0.0,2.0
04013610800,2020,0.0,0.0,0.0,1.0
04013612200,2020,0.0,0.0,0.0,1.0
04013613000,2020,0.0,0.0,0.0,1.0
04013613500,2020,0.0,0.0,0.0,1.0
04013613601,2020,0.0,0.0,0.0,1.0
04013613800,2020,0.0,0.0,0.0,1.0
04013613900,2020,0.0,0.0,0.0,2.0
04013614200,2020,0.0,0.0,0.0,1.0
04013614400,2020,0.0,0.0,0.0,1.0
04013614500,2020,0.0,0.0,0.0,1.0
04013615700,2020,0.0,0.0,0.0,1.0
04013616900,2020,0.0,0.0,0.0,1.0
04013618400,2020,0.0,0.0,0.0,1.0
04013618900,2020,0.0,0.0,0.0,1.0
04013619000,2020,0.0,0.0,0.0,1.0
04013619200,2020,0.0,0.0,0.0,1.0
04013619500,2020,0.0,0.0,0.0,1.0
04013723304,2020,0.0,0.0,0.0,1.0
04013723306,2020,0.0,0.0,0.0,2.0
04013810100,2020,0.0,0.0,0.0,1.0
04013810700,2020,0.0,0.0,0.0,1.0
04013811200,2020,0.0,0.0,0.0,1.0
04013811600,2020,0.0,0.0,0.0,1.0
04013812300,2020,0.0,0.0,0.0,2.0
04013812400,2020,0.0,0.0,0.0,1.0
04013813000,2020,0.0,0.0,0.0,1.0
04013813200,2020,0.0,0.0,0.0,2.0
04013813800,2020,0.0,0.0,0.0,1.0
04013814100,2020,0.0,0.0,0.0,1.0
04013814400,2020,0.0,0.0,0.0,1.0
04013814802,2020,0.0,0.0,0.0,2.0
04013814900,2020,0.0,0.0,0.0,1.0
04013815202,2020,0.0,0.0,0.0,1.0
04013815203,2020,0.0,0.0,0.0,1.0
04013815401,2020,0.0,0.0,0.0,1.0
04013816002,2020,0.0,0.0,0.0,2.0
04013816100,2020,0.0,0.0,0.0,1.0
04013816301,2020,0.0,0.0,0.0,1.0
04013941000,2020,0.0,0.0,0.0,1.0
04015951403,2020,0.0,0.0,0.0,1.0
04015951602,2020,0.0,0.0,0.0,1.0
04015952400,2020,0.0,0.0,0.0,1.0
04015952600,2020,0.0,0.0,0.0,1.0
04015952701,2020,0.0,0.0,0.0,1.0
04015953302,2020,0.0,0.0,0.0,1.0
04015953603,2020,0.0,0.0,0.0,1.0
04015953901,2020,0.0,0.0,0.0,1.0
04015954802,2020,0.0,0.0,0.0,1.0
04015954900,2020,0.0,0.0,0.0,1.0
04015955001,2020,0.0,0.0,0.0,1.0
04019000600,2020,0.0,0.0,0.0,1.0
04019001600,2020,0.0,0.0,0.0,1.0
04019001801,2020,0.0,0.0,0.0,1.0
04019001900,2020,0.0,0.0,0.0,1.0
04019002704,2020,0.0,0.0,0.0,1.0
04019003302,2020,0.0,0.0,0.0,1.0
04019003303,2020,0.0,0.0,0.0,1.0
04019003504,2020,0.0,0.0,0.0,1.0
04019003903,2020,0.0,0.0,0.0,1.0
04019004008,2020,0.0,0.0,0.0,1.0
04019004042,2020,0.0,0.0,0.0,1.0
04019004046,2020,0.0,0.0,0.0,1.0
04019004047,2020,0.0,0.0,0.0,1.0
04019004048,2020,0.0,0.0,0.0,1.0
04019004049,2020,0.0,0.0,0.0,1.0
04019004062,2020,0.0,0.0,0.0,1.0
04019004065,2020,0.0,0.0,0.0,1.0
04019004077,2020,0.0,0.0,0.0,1.0
04019004082,2020,0.0,0.0,0.0,1.0
04019004109,2020,0.0,0.0,0.0,1.0
04019004126,2020,0.0,0.0,0.0,1.0
04019004322,2020,0.0,0.0,0.0,1.0
04019004333,2020,0.0,0.0,0.0,1.0
04019004340,2020,0.0,0.0,0.0,1.0
04019004407,2020,0.0,0.0,0.0,1.0
04019004426,2020,0.0,0.0,0.0,1.0
04019004428,2020,0.0,0.0,0.0,1.0
04019004435,2020,0.0,0.0,0.0,1.0
04019004510,2020,0.0,0.0,0.0,1.0
04019004610,2020,0.0,0.0,0.0,1.0
04019004615,2020,0.0,0.0,0.0,1.0
04019004616,2020,0.0,0.0,0.0,1.0
04019004617,2020,0.0,0.0,0.0,1.0
04019004619,2020,0.0,0.0,0.0,1.0
04019004622,2020,0.0,0.0,0.0,1.0
04019004623,2020,0.0,0.0,0.0,1.0
04019004624,2020,0.0,0.0,0.0,1.0
04019004625,2020,0.0,0.0,0.0,1.0
04019004635,2020,0.0,0.0,0.0,1.0
04019004639,2020,0.0,0.0,0.0,1.0
04019004642,2020,0.0,0.0,0.0,2.0
04019004645,2020,0.0,0.0,0.0,1.0
04019004647,2020,0.0,0.0,0.0,1.0
04019004648,2020,0.0,0.0,0.0,1.0
04019004714,2020,0.0,0.0,0.0,1.0
04019004717,2020,0.0,0.0,0.0,1.0
04019004725,2020,0.0,0.0,0.0,1.0
04019004726,2020,0.0,0.0,0.0,1.0
04021000212,2020,0.0,0.0,0.0,1.0
04021000216,2020,0.0,0.0,0.0,1.0
04021000226,2020,0.0,0.0,0.0,2.0
04021000321,2020,0.0,0.0,0.0,1.0
04021000804,2020,0.0,0.0,0.0,1.0
04021000903,2020,0.0,0.0,0.0,1.0
04021001000,2020,0.0,0.0,0.0,1.0
04021001309,2020,0.0,0.0,0.0,1.0
04021001310,2020,0.0,0.0,0.0,1.0
04021001704,2020,0.0,0.0,0.0,1.0
04021002001,2020,0.0,0.0,0.0,1.0
04021941402,2020,0.0,0.0,0.0,1.0
04023966101,2020,0.0,0.0,0.0,1.0
04023966108,2020,0.0,0.0,0.0,1.0
04023966109,2020,0.0,0.0,0.0,1.0
04025000613,2020,0.0,0.0,0.0,2.0
04025001105,2020,0.0,0.0,0.0,2.0
04025001201,2020,0.0,0.0,0.0,1.0
04025001703,2020,0.0,0.0,0.0,1.0
04025001801,2020,0.0,0.0,0.0,1.0
04025002002,2020,0.0,0.0,0.0,1.0
04027000907,2020,0.0,0.0,0.0,1.0
04027000908,2020,0.0,0.0,0.0,1.0
04027011107,2020,0.0,0.0,0.0,1.0
04027011407,2020,0.0,0.0,0.0,1.0
04027011801,2020,0.0,0.0,0.0,1.0
05001480200,2020,0.0,0.0,0.0,1.0
05001480300,2020,0.0,0.0,0.0,1.0
05003960600,2020,0.0,0.0,0.0,1.0
05005950400,2020,0.0,0.0,0.0,1.0
05007020206,2020,0.0,0.0,0.0,1.0
05007020304,2020,0.0,0.0,0.0,1.0
05007020305,2020,0.0,0.0,0.0,1.0
05007020501,2020,0.0,0.0,0.0,1.0
05007020606,2020,0.0,0.0,0.0,1.0
05007020608,2020,0.0,0.0,0.0,1.0
05007020904,2020,0.0,0.0,0.0,1.0
05007021306,2020,0.0,0.0,0.0,2.0
05009790501,2020,0.0,0.0,0.0,1.0
05011950200,2020,0.0,0.0,0.0,1.0
05013480100,2020,0.0,0.0,0.0,2.0
05015950302,2020,0.0,0.0,0.0,1.0
05017080100,2020,0.0,0.0,0.0,1.0
05023480100,2020,0.0,0.0,0.0,1.0
05023480400,2020,0.0,0.0,0.0,1.0
05025970100,2020,0.0,0.0,0.0,1.0
05029950300,2020,0.0,0.0,0.0,1.0
05031000401,2020,0.0,0.0,0.0,1.0
05031000501,2020,0.0,0.0,0.0,1.0
05031000601,2020,0.0,0.0,0.0,1.0
05031000804,2020,0.0,0.0,0.0,1.0
05033020207,2020,0.0,0.0,0.0,1.0
05043490100,2020,0.0,0.0,0.0,2.0
05043490500,2020,0.0,0.0,0.0,1.0
05045030103,2020,0.0,0.0,0.0,1.0
05045031101,2020,0.0,0.0,0.0,1.0
05047950100,2020,0.0,0.0,0.0,1.0
05051011101,2020,0.0,0.0,0.0,1.0
05051011102,2020,0.0,0.0,0.0,1.0
05051011300,2020,0.0,0.0,0.0,2.0
05051011400,2020,0.0,0.0,0.0,1.0
05051011901,2020,0.0,0.0,0.0,1.0
05053470300,2020,0.0,0.0,0.0,1.0
05053470401,2020,0.0,0.0,0.0,1.0
05055480300,2020,0.0,0.0,0.0,1.0
05055480601,2020,0.0,0.0,0.0,1.0
05059020200,2020,0.0,0.0,0.0,1.0
05059020701,2020,0.0,0.0,0.0,1.0
05061950300,2020,0.0,0.0,0.0,1.0
05063490200,2020,0.0,0.0,0.0,1.0
05069000303,2020,0.0,0.0,0.0,1.0
05069001401,2020,0.0,0.0,0.0,1.0
05069001502,2020,0.0,0.0,0.0,1.0
05069002103,2020,0.0,0.0,0.0,1.0
05075470502,2020,0.0,0.0,0.0,2.0
05081030103,2020,0.0,0.0,0.0,1.0
05085020102,2020,0.0,0.0,0.0,1.0
05085020302,2020,0.0,0.0,0.0,1.0
05087960100,2020,0.0,0.0,0.0,1.0
05089960302,2020,0.0,0.0,0.0,1.0
05091020100,2020,0.0,0.0,0.0,1.0
05091020901,2020,0.0,0.0,0.0,1.0
05093010802,2020,0.0,0.0,0.0,1.0
05093011000,2020,0.0,0.0,0.0,1.0
05099090200,2020,0.0,0.0,0.0,1.0
05103950600,2020,0.0,0.0,0.0,2.0
05105952700,2020,0.0,0.0,0.0,1.0
05109953300,2020,0.0,0.0,0.0,1.0
05109953500,2020,0.0,0.0,0.0,1.0
05113950100,2020,0.0,0.0,0.0,1.0
05117460100,2020,0.0,0.0,0.0,1.0
05119003703,2020,0.0,0.0,0.0,1.0
05119003712,2020,0.0,0.0,0.0,1.0
05119004202,2020,0.0,0.0,0.0,1.0
05119004205,2020,0.0,0.0,0.0,1.0
05119004214,2020,0.0,0.0,0.0,1.0
05119004228,2020,0.0,0.0,0.0,1.0
05119004600,2020,0.0,0.0,0.0,1.0
05121960301,2020,0.0,0.0,0.0,1.0
05123960201,2020,0.0,0.0,0.0,1.0
05125010301,2020,0.0,0.0,0.0,1.0
05131000100,2020,0.0,0.0,0.0,1.0
05131000300,2020,0.0,0.0,0.0,1.0
05131001101,2020,0.0,0.0,0.0,1.0
05131001308,2020,0.0,0.0,0.0,1.0
05131010101,2020,0.0,0.0,0.0,1.0
05133080100,2020,0.0,0.0,0.0,1.0
05139950200,2020,0.0,0.0,0.0,1.0
05143010108,2020,0.0,0.0,0.0,1.0
05143010401,2020,0.0,0.0,0.0,1.0
05143010405,2020,0.0,0.0,0.0,3.0
05143010513,2020,0.0,0.0,0.0,1.0
05143010517,2020,0.0,0.0,0.0,1.0
05143010602,2020,0.0,0.0,0.0,1.0
05143011104,2020,0.0,0.0,0.0,1.0
05143011200,2020,0.0,0.0,0.0,1.0
05145070200,2020,0.0,0.0,0.0,1.0
05145070300,2020,0.0,0.0,0.0,1.0
05145070902,2020,0.0,0.0,0.0,1.0
05145071002,2020,0.0,0.0,0.0,1.0
06001400400,2020,0.0,0.0,0.0,1.0
06001401700,2020,0.0,0.0,0.0,1.0
06001403100,2020,0.0,0.0,0.0,1.0
06001404600,2020,0.0,0.0,0.0,1.0
06001405401,2020,0.0,0.0,0.0,1.0
06001405500,2020,0.0,0.0,0.0,1.0
06001407000,2020,0.0,0.0,0.0,1.0
06001407500,2020,0.0,0.0,0.0,1.0
06001408600,2020,0.0,0.0,0.0,1.0
06001409700,2020,0.0,0.0,0.0,1.0
06001421200,2020,0.0,0.0,0.0,1.0
06001422100,2020,0.0,0.0,0.0,1.0
06001422400,2020,0.0,0.0,0.0,1.0
06001423300,2020,0.0,0.0,0.0,2.0
06001423700,2020,0.0,0.0,0.0,1.0
06001423800,2020,0.0,0.0,0.0,1.0
06001423901,2020,0.0,0.0,0.0,1.0
06001426200,2020,0.0,0.0,0.0,1.0
06001427300,2020,0.0,0.0,0.0,1.0
06001428200,2020,0.0,0.0,0.0,4.0
06001428302,2020,0.0,0.0,0.0,1.0
06001428400,2020,0.0,0.0,0.0,1.0
06001428700,2020,0.0,0.0,0.0,1.0
06001430102,2020,0.0,0.0,0.0,1.0
06001430400,2020,0.0,0.0,0.0,1.0
06001430600,2020,0.0,0.0,0.0,2.0
06001430800,2020,0.0,0.0,0.0,1.0
06001431200,2020,0.0,0.0,0.0,1.0
06001432200,2020,0.0,0.0,0.0,1.0
06001432300,2020,0.0,0.0,0.0,1.0
06001432800,2020,0.0,0.0,0.0,1.0
06001433500,2020,0.0,0.0,0.0,1.0
06001433600,2020,0.0,0.0,0.0,1.0
06001433700,2020,0.0,0.0,0.0,1.0
06001434000,2020,0.0,0.0,0.0,2.0
06001435102,2020,0.0,0.0,0.0,1.0
06001435103,2020,0.0,0.0,0.0,1.0
06001436100,2020,0.0,0.0,0.0,1.0
06001436402,2020,0.0,0.0,0.0,1.0
06001436403,2020,0.0,0.0,0.0,1.0
06001436700,2020,0.0,0.0,0.0,1.0
06001438000,2020,0.0,0.0,0.0,1.0
06001440304,2020,0.0,0.0,0.0,1.0
06001441100,2020,0.0,0.0,0.0,2.0
06001441301,2020,0.0,0.0,0.0,1.0
