geoid,rhoH_2020,rhoH_2021,drhoH,rhoW_2020,rhoW_2021,drhoW,In_2020,In_2021,dIn,Out_2020,lat,lon,county
01039962600,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,01039
01039962900,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,01039
01043965100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,01043
01045021102,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,01045
01045021300,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,01045
01049960701,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,01049
01049960900,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,01049
01051030101,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,01051
01051030103,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,01051
01051030500,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,01051
01051030702,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,01051
01055001100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,01055
01059973600,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,01059
01067030200,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,01067
01069041500,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,01069
01071950102,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,01071
01071950500,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,,,01071
01071950601,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,01071
01071950602,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,01071
01073003700,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,01073
01073003802,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,01073
01073004501,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,01073
01073004902,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,01073
01073005600,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,01073
01073005701,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,01073
01073005903,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,01073
01073005908,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,01073
01073010704,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,01073
01073011108,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,01073
01073011206,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,01073
01073011209,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,01073
01073011304,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,01073
01073011710,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,01073
01073012001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,01073
01073012910,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,01073
01073012911,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,01073
01073013300,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,,,01073
01073013601,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,01073
01073014209,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,01073
01073014404,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,,,01073
01077011102,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,01077
01077011502,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,01077
01077011606,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,01077
01081040202,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,01081
01081040401,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,,,01081
01081040501,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,01081
01083020402,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,01083
01083020600,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,01083
01083020700,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,01083
01083020803,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,01083
01087231602,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,01087
01089000203,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,01089
01089000301,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,01089
01089002100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,01089
01089002801,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,01089
01089002804,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,01089
01089002924,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,01089
01089010612,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,01089
01089010623,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,01089
01089010705,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,,,01089
01089010706,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,01089
01089011025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,,,01089
01093964500,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,01093
01097003606,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,01097
01097003704,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,01097
01097005900,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,01097
01097006403,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,01097
01097006407,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,01097
01097006408,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,01097
01097006505,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,01097
01097006704,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,01097
01097007300,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,01097
01099076102,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,01099
01101001700,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,01101
01101002400,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,,,01101
01101002800,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,01101
01101002902,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,01101
01101003100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,01101
01101003200,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,01101
01101005402,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,01101
01101005410,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,01101
01101005412,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,01101
01101005605,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,01101
01101005614,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,01101
01101005700,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,01101
01103005108,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,01103
01103005500,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,01103
01103005601,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,01103
01103005701,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,01103
01105687002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,01105
01109188700,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,01109
01109189300,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,01109
01113030905,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,01113
01115040109,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,01115
01115040211,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,01115
01115040213,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,01115
01117030319,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,,,01117
01117030330,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,01117
01117030331,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,01117
01117030346,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,01117
01117030347,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,01117
01117030616,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,01117
01117030704,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,01117
01119011500,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,01119
01121011302,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,01121
01121011502,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,01121
01123962100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,01123
01125010204,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,01125
01125010704,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,01125
01125012304,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,01125
01125012408,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,01125
01127020200,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,01127
01127020801,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,01127
01127020900,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,,,01127
01127021700,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,,,01127
01131035100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,01131
02020000102,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,02020
02020000201,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,02020
02020000205,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,02020
02020000500,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,02020
02020001702,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,,,02020
02020001731,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,02020
02020001802,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,02020
02020002301,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,02020
02020002501,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,02020
02020002711,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,,,02020
02020002813,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,02020
02020002821,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,,,02020
02020002822,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,02020
02020980200,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,02020
02063000200,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,02063
02110000200,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,02110
02122000400,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,,,02122
02122000500,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,02122
02122001000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,02122
02130000400,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,02130
02170000300,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,02170
02170000601,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,02170
02170000604,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,02170
02170001001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,02170
02170001201,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,02170
02180000200,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,02180
04001970300,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,04001
04001970501,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,04001
04003000101,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,04003
04003000503,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,04003
04003001100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,04003
04003001601,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,04003
04003001701,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,04003
04003001702,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,04003
04005001000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,04005
04005001601,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,04005
04007001100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,04007
04009961400,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,04009
04011960200,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,04011
04013010102,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,,,04013
04013040539,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,04013
04013040540,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,04013
04013050604,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,04013
04013060902,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,04013
04013061011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,,,04013
04013061031,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,04013
04013061035,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,04013
04013061037,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,04013
04013061049,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,,,04013
04013061059,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,04013
04013061062,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,04013
04013061064,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,04013
04013071510,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,04013
04013071511,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,04013
04013071517,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,04013
04013071909,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,04013
04013082007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,04013
04013082023,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,04013
04013082204,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,04013
04013082208,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,,,04013
04013082209,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,04013
04013092311,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,04013
04013092802,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,04013
04013093105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,04013
04013103210,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,04013
04013103217,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,04013
04013103219,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,04013
04013103302,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,04013
04013103900,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,04013
04013104000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,04013
04013104219,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,04013
04013104223,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,04013
04013104226,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,04013
04013104301,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,04013
04013105004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,04013
04013105101,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,04013
04013105800,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,,,04013
04013105900,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,04013
04013106300,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,04013
04013106802,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,04013
04013107002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,04013
04013107403,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,04013
04013108100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,04013
04013108501,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,04013
04013108902,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,,,04013
04013109002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,04013
04013109401,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,04013
04013110100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,04013
04013110400,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,04013
04013110600,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,04013
04013110801,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,04013
04013111201,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,04013
04013111601,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,04013
04013111700,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,04013
04013112518,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,04013
04013112524,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,04013
04013112700,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,04013
04013113301,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,04013
04013115600,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,04013
04013116202,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,,,04013
04013116605,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,04013
04013116606,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,04013
04013116611,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,04013
04013116612,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,04013
04013116710,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,04013
04013116719,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,,,04013
04013116721,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,04013
04013116725,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,04013
04013116728,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,04013
04013116729,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,04013
04013116737,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,04013
04013216816,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,04013
04013216819,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,04013
04013216822,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,04013
04013216829,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,04013
04013216833,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,,,04013
04013216835,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,04013
04013216839,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,04013
04013216845,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,04013
04013216854,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,04013
04013216855,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,04013
04013216902,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,04013
04013217502,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,04013
04013218200,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,04013
04013318501,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,04013
04013319103,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,,,04013
04013319202,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,04013
04013319403,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,04013
04013319404,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,04013
04013319600,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,04013
