geoid,year,rho_H,rho_W,In,Out,lat,lon,county
01073003700,2020,0.0,0.0,0.0,1.0,,,01073
01073003802,2020,0.0,0.0,0.0,1.0,,,01073
01073004501,2020,0.0,0.0,0.0,1.0,,,01073
01073004902,2020,0.0,0.0,0.0,1.0,,,01073
01073005600,2020,0.0,0.0,0.0,1.0,,,01073
01073005701,2020,0.0,0.0,0.0,1.0,,,01073
01073005903,2020,0.0,0.0,0.0,1.0,,,01073
01073005908,2020,0.0,0.0,0.0,1.0,,,01073
01073010704,2020,0.0,0.0,0.0,1.0,,,01073
01073011108,2020,0.0,0.0,0.0,1.0,,,01073
01073011206,2020,0.0,0.0,0.0,1.0,,,01073
01073011209,2020,0.0,0.0,0.0,1.0,,,01073
01073011304,2020,0.0,0.0,0.0,1.0,,,01073
01073011710,2020,0.0,0.0,0.0,1.0,,,01073
01073012001,2020,0.0,0.0,0.0,1.0,,,01073
01073012910,2020,0.0,0.0,0.0,1.0,,,01073
01073012911,2020,0.0,0.0,0.0,1.0,,,01073
01073013300,2020,0.0,0.0,0.0,2.0,,,01073
01073013601,2020,0.0,0.0,0.0,1.0,,,01073
01073014209,2020,0.0,0.0,0.0,1.0,,,01073
01073014404,2020,0.0,0.0,0.0,2.0,,,01073
01077011102,2020,0.0,0.0,0.0,1.0,,,01077
01077011502,2020,0.0,0.0,0.0,1.0,,,01077
01077011606,2020,0.0,0.0,0.0,1.0,,,01077
01081040202,2020,0.0,0.0,0.0,1.0,,,01081
01081040401,2020,0.0,0.0,0.0,2.0,,,01081
01081040501,2020,0.0,0.0,0.0,1.0,,,01081
01083020402,2020,0.0,0.0,0.0,1.0,,,01083
01083020600,2020,0.0,0.0,0.0,1.0,,,01083
01083020700,2020,0.0,0.0,0.0,1.0,,,01083
01083020803,2020,0.0,0.0,0.0,1.0,,,01083
01087231602,2020,0.0,0.0,0.0,1.0,,,01087
01089000203,2020,0.0,0.0,0.0,1.0,,,01089
01089000301,2020,0.0,0.0,0.0,1.0,,,01089
01089002100,2020,0.0,0.0,0.0,1.0,,,01089
01089002801,2020,0.0,0.0,0.0,1.0,,,01089
01089002804,2020,0.0,0.0,0.0,1.0,,,01089
01089002924,2020,0.0,0.0,0.0,1.0,,,01089
01089010612,2020,0.0,0.0,0.0,1.0,,,01089
01089010623,2020,0.0,0.0,0.0,1.0,,,01089
01089010705,2020,0.0,0.0,0.0,2.0,,,01089
01089010706,2020,0.0,0.0,0.0,1.0,,,01089
01089011025,2020,0.0,0.0,0.0,2.0,,,01089
01093964500,2020,0.0,0.0,0.0,1.0,,,01093
01097003606,2020,0.0,0.0,0.0,1.0,,,01097
01097003704,2020,0.0,0.0,0.0,1.0,,,01097
01097005900,2020,0.0,0.0,0.0,1.0,,,01097
01097006403,2020,0.0,0.0,0.0,1.0,,,01097
01097006407,2020,0.0,0.0,0.0,1.0,,,01097
01097006408,2020,0.0,0.0,0.0,1.0,,,01097
01097006505,2020,0.0,0.0,0.0,1.0,,,01097
01097006704,2020,0.0,0.0,0.0,1.0,,,01097
01097007300,2020,0.0,0.0,0.0,1.0,,,01097
01099076102,2020,0.0,0.0,0.0,1.0,,,01099
01101001700,2020,0.0,0.0,0.0,1.0,,,01101
01101002400,2020,0.0,0.0,0.0,2.0,,,01101
01101002800,2020,0.0,0.0,0.0,1.0,,,01101
01101002902,2020,0.0,0.0,0.0,1.0,,,01101
01101003100,2020,0.0,0.0,0.0,1.0,,,01101
01101003200,2020,0.0,0.0,0.0,1.0,,,01101
01101005402,2020,0.0,0.0,0.0,1.0,,,01101
01101005410,2020,0.0,0.0,0.0,1.0,,,01101
01101005412,2020,0.0,0.0,0.0,1.0,,,01101
01101005605,2020,0.0,0.0,0.0,1.0,,,01101
01101005614,2020,0.0,0.0,0.0,1.0,,,01101
01101005700,2020,0.0,0.0,0.0,1.0,,,01101
01103005108,2020,0.0,0.0,0.0,1.0,,,01103
01103005500,2020,0.0,0.0,0.0,1.0,,,01103
01103005601,2020,0.0,0.0,0.0,1.0,,,01103
01103005701,2020,0.0,0.0,0.0,1.0,,,01103
01105687002,2020,0.0,0.0,0.0,1.0,,,01105
01109188700,2020,0.0,0.0,0.0,1.0,,,01109
01109189300,2020,0.0,0.0,0.0,1.0,,,01109
01113030905,2020,0.0,0.0,0.0,1.0,,,01113
01115040109,2020,0.0,0.0,0.0,1.0,,,01115
01115040211,2020,0.0,0.0,0.0,1.0,,,01115
01115040213,2020,0.0,0.0,0.0,1.0,,,01115
01117030319,2020,0.0,0.0,0.0,3.0,,,01117
01117030330,2020,0.0,0.0,0.0,1.0,,,01117
01117030331,2020,0.0,0.0,0.0,1.0,,,01117
01117030346,2020,0.0,0.0,0.0,1.0,,,01117
01117030347,2020,0.0,0.0,0.0,1.0,,,01117
01117030616,2020,0.0,0.0,0.0,1.0,,,01117
01117030704,2020,0.0,0.0,0.0,1.0,,,01117
01119011500,2020,0.0,0.0,0.0,1.0,,,01119
01121011302,2020,0.0,0.0,0.0,1.0,,,01121
01121011502,2020,0.0,0.0,0.0,1.0,,,01121
01123962100,2020,0.0,0.0,0.0,1.0,,,01123
01125010204,2020,0.0,0.0,0.0,1.0,,,01125
01125010704,2020,0.0,0.0,0.0,1.0,,,01125
01125012304,2020,0.0,0.0,0.0,1.0,,,01125
01125012408,2020,0.0,0.0,0.0,1.0,,,01125
01127020200,2020,0.0,0.0,0.0,1.0,,,01127
01127020801,2020,0.0,0.0,0.0,1.0,,,01127
01127020900,2020,0.0,0.0,0.0,2.0,,,01127
01127021700,2020,0.0,0.0,0.0,2.0,,,01127
01131035100,2020,0.0,0.0,0.0,1.0,,,01131
02020000102,2020,0.0,0.0,0.0,1.0,,,02020
02020000201,2020,0.0,0.0,0.0,1.0,,,02020
02020000205,2020,0.0,0.0,0.0,1.0,,,02020
02020000500,2020,0.0,0.0,0.0,1.0,,,02020
02020001702,2020,0.0,0.0,0.0,2.0,,,02020
02020001731,2020,0.0,0.0,0.0,1.0,,,02020
02020001802,2020,0.0,0.0,0.0,1.0,,,02020
02020002301,2020,0.0,0.0,0.0,1.0,,,02020
02020002501,2020,0.0,0.0,0.0,1.0,,,02020
02020002711,2020,0.0,0.0,0.0,2.0,,,02020
02020002813,2020,0.0,0.0,0.0,1.0,,,02020
02020002821,2020,0.0,0.0,0.0,2.0,,,02020
02020002822,2020,0.0,0.0,0.0,1.0,,,02020
02020980200,2020,0.0,0.0,0.0,1.0,,,02020
02063000200,2020,0.0,0.0,0.0,1.0,,,02063
02110000200,2020,0.0,0.0,0.0,1.0,,,02110
02122000400,2020,0.0,0.0,0.0,2.0,,,02122
02122000500,2020,0.0,0.0,0.0,1.0,,,02122
02122001000,2020,0.0,0.0,0.0,1.0,,,02122
02130000400,2020,0.0,0.0,0.0,1.0,,,02130
02170000300,2020,0.0,0.0,0.0,1.0,,,02170
02170000601,2020,0.0,0.0,0.0,1.0,,,02170
02170000604,2020,0.0,0.0,0.0,1.0,,,02170
02170001001,2020,0.0,0.0,0.0,1.0,,,02170
02170001201,2020,0.0,0.0,0.0,1.0,,,02170
02180000200,2020,0.0,0.0,0.0,1.0,,,02180
04001970300,2020,0.0,0.0,0.0,1.0,,,04001
04001970501,2020,0.0,0.0,0.0,1.0,,,04001
04003000101,2020,0.0,0.0,0.0,1.0,,,04003
04003000503,2020,0.0,0.0,0.0,1.0,,,04003
04003001100,2020,0.0,0.0,0.0,1.0,,,04003
04003001601,2020,0.0,0.0,0.0,1.0,,,04003
04003001701,2020,0.0,0.0,0.0,1.0,,,04003
04003001702,2020,0.0,0.0,0.0,1.0,,,04003
04005001000,2020,0.0,0.0,0.0,1.0,,,04005
04005001601,2020,0.0,0.0,0.0,1.0,,,04005
04007001100,2020,0.0,0.0,0.0,1.0,,,04007
04009961400,2020,0.0,0.0,0.0,1.0,,,04009
04011960200,2020,0.0,0.0,0.0,1.0,,,04011
04013010102,2020,0.0,0.0,0.0,3.0,,,04013
04013040539,2020,0.0,0.0,0.0,1.0,,,04013
04013040540,2020,0.0,0.0,0.0,1.0,,,04013
04013050604,2020,0.0,0.0,0.0,1.0,,,04013
04013060902,2020,0.0,0.0,0.0,1.0,,,04013
04013061011,2020,0.0,0.0,0.0,2.0,,,04013
04013061031,2020,0.0,0.0,0.0,1.0,,,04013
04013061035,2020,0.0,0.0,0.0,1.0,,,04013
04013061037,2020,0.0,0.0,0.0,1.0,,,04013
04013061049,2020,0.0,0.0,0.0,2.0,,,04013
04013061059,2020,0.0,0.0,0.0,1.0,,,04013
04013061062,2020,0.0,0.0,0.0,1.0,,,04013
04013061064,2020,0.0,0.0,0.0,1.0,,,04013
04013071510,2020,0.0,0.0,0.0,1.0,,,04013
04013071511,2020,0.0,0.0,0.0,1.0,,,04013
04013071517,2020,0.0,0.0,0.0,1.0,,,04013
04013071909,2020,0.0,0.0,0.0,1.0,,,04013
04013082007,2020,0.0,0.0,0.0,1.0,,,04013
04013082023,2020,0.0,0.0,0.0,1.0,,,04013
04013082204,2020,0.0,0.0,0.0,1.0,,,04013
04013082208,2020,0.0,0.0,0.0,2.0,,,04013
04013082209,2020,0.0,0.0,0.0,1.0,,,04013
04013092311,2020,0.0,0.0,0.0,1.0,,,04013
04013092802,2020,0.0,0.0,0.0,1.0,,,04013
04013093105,2020,0.0,0.0,0.0,1.0,,,04013
04013103210,2020,0.0,0.0,0.0,1.0,,,04013
04013103217,2020,0.0,0.0,0.0,1.0,,,04013
04013103219,2020,0.0,0.0,0.0,1.0,,,04013
04013103302,2020,0.0,0.0,0.0,1.0,,,04013
04013103900,2020,0.0,0.0,0.0,1.0,,,04013
04013104000,2020,0.0,0.0,0.0,1.0,,,04013
04013104219,2020,0.0,0.0,0.0,1.0,,,04013
04013104223,2020,0.0,0.0,0.0,1.0,,,04013
04013104226,2020,0.0,0.0,0.0,1.0,,,04013
04013104301,2020,0.0,0.0,0.0,1.0,,,04013
04013105004,2020,0.0,0.0,0.0,1.0,,,04013
04013105101,2020,0.0,0.0,0.0,1.0,,,04013
04013105800,2020,0.0,0.0,0.0,2.0,,,04013
04013105900,2020,0.0,0.0,0.0,1.0,,,04013
04013106300,2020,0.0,0.0,0.0,1.0,,,04013
04013106802,2020,0.0,0.0,0.0,1.0,,,04013
04013107002,2020,0.0,0.0,0.0,1.0,,,04013
04013107403,2020,0.0,0.0,0.0,1.0,,,04013
04013108100,2020,0.0,0.0,0.0,1.0,,,04013
04013108501,2020,0.0,0.0,0.0,1.0,,,04013
04013108902,2020,0.0,0.0,0.0,2.0,,,04013
04013109002,2020,0.0,0.0,0.0,1.0,,,04013
04013109401,2020,0.0,0.0,0.0,1.0,,,04013
04013110100,2020,0.0,0.0,0.0,1.0,,,04013
04013110400,2020,0.0,0.0,0.0,1.0,,,04013
04013110600,2020,0.0,0.0,0.0,1.0,,,04013
04013110801,2020,0.0,0.0,0.0,1.0,,,04013
04013111201,2020,0.0,0.0,0.0,1.0,,,04013
04013111601,2020,0.0,0.0,0.0,1.0,,,04013
04013111700,2020,0.0,0.0,0.0,1.0,,,04013
04013112518,2020,0.0,0.0,0.0,1.0,,,04013
04013112524,2020,0.0,0.0,0.0,1.0,,,04013
04013112700,2020,0.0,0.0,0.0,1.0,,,04013
04013113301,2020,0.0,0.0,0.0,1.0,,,04013
04013115600,2020,0.0,0.0,0.0,1.0,,,04013
04013116202,2020,0.0,0.0,0.0,2.0,,,04013
04013116605,2020,0.0,0.0,0.0,1.0,,,04013
04013116606,2020,0.0,0.0,0.0,1.0,,,04013
04013116611,2020,0.0,0.0,0.0,1.0,,,04013
04013116612,2020,0.0,0.0,0.0,1.0,,,04013
04013116710,2020,0.0,0.0,0.0,1.0,,,04013
04013116719,2020,0.0,0.0,0.0,2.0,,,04013
04013116721,2020,0.0,0.0,0.0,1.0,,,04013
04013116725,2020,0.0,0.0,0.0,1.0,,,04013
04013116728,2020,0.0,0.0,0.0,1.0,,,04013
04013116729,2020,0.0,0.0,0.0,1.0,,,04013
04013116737,2020,0.0,0.0,0.0,1.0,,,04013
04013216816,2020,0.0,0.0,0.0,1.0,,,04013
04013216819,2020,0.0,0.0,0.0,1.0,,,04013
04013216822,2020,0.0,0.0,0.0,1.0,,,04013
04013216829,2020,0.0,0.0,0.0,1.0,,,04013
04013216833,2020,0.0,0.0,0.0,2.0,,,04013
04013216835,2020,0.0,0.0,0.0,1.0,,,04013
04013216839,2020,0.0,0.0,0.0,1.0,,,04013
04013216845,2020,0.0,0.0,0.0,1.0,,,04013
04013216854,2020,0.0,0.0,0.0,1.0,,,04013
04013216855,2020,0.0,0.0,0.0,1.0,,,04013
04013216902,2020,0.0,0.0,0.0,1.0,,,04013
04013217502,2020,0.0,0.0,0.0,1.0,,,04013
04013218200,2020,0.0,0.0,0.0,1.0,,,04013
04013318501,2020,0.0,0.0,0.0,1.0,,,04013
04013319103,2020,0.0,0.0,0.0,2.0,,,04013
04013319202,2020,0.0,0.0,0.0,1.0,,,04013
04013319403,2020,0.0,0.0,0.0,1.0,,,04013
04013319404,2020,0.0,0.0,0.0,1.0,,,04013
04013319600,2020,0.0,0.0,0.0,1.0,,,04013
04013319906,2020,0.0,0.0,0.0,1.0,,,04013
04013320007,2020,0.0,0.0,0.0,1.0,,,04013
04013420104,2020,0.0,0.0,0.0,1.0,,,04013
04013420107,2020,0.0,0.0,0.0,2.0,,,04013
04013420112,2020,0.0,0.0,0.0,1.0,,,04013
04013420113,2020,0.0,0.0,0.0,1.0,,,04013
04013420206,2020,0.0,0.0,0.0,1.0,,,04013
04013420214,2020,0.0,0.0,0.0,2.0,,,04013
04013420705,2020,0.0,0.0,0.0,1.0,,,04013
04013420707,2020,0.0,0.0,0.0,1.0,,,04013
04013420708,2020,0.0,0.0,0.0,1.0,,,04013
04013421002,2020,0.0,0.0,0.0,1.0,,,04013
04013421302,2020,0.0,0.0,0.0,2.0,,,04013
04013421304,2020,0.0,0.0,0.0,1.0,,,04013
04013421601,2020,0.0,0.0,0.0,1.0,,,04013
04013421602,2020,0.0,0.0,0.0,1.0,,,04013
04013421902,2020,0.0,0.0,0.0,1.0,,,04013
04013422001,2020,0.0,0.0,0.0,1.0,,,04013
04013422102,2020,0.0,0.0,0.0,1.0,,,04013
04013422213,2020,0.0,0.0,0.0,1.0,,,04013
04013422217,2020,0.0,0.0,0.0,1.0,,,04013
04013422221,2020,0.0,0.0,0.0,1.0,,,04013
04013422301,2020,0.0,0.0,0.0,1.0,,,04013
04013422304,2020,0.0,0.0,0.0,1.0,,,04013
04013422307,2020,0.0,0.0,0.0,1.0,,,04013
04013422503,2020,0.0,0.0,0.0,1.0,,,04013
04013422508,2020,0.0,0.0,0.0,2.0,,,04013
04013422609,2020,0.0,0.0,0.0,1.0,,,04013
04013422625,2020,0.0,0.0,0.0,1.0,,,04013
04013422627,2020,0.0,0.0,0.0,1.0,,,04013
04013422629,2020,0.0,0.0,0.0,1.0,,,04013
04013422630,2020,0.0,0.0,0.0,1.0,,,04013
04013422637,2020,0.0,0.0,0.0,1.0,,,04013
04013422642,2020,0.0,0.0,0.0,2.0,,,04013
04013422648,2020,0.0,0.0,0.0,1.0,,,04013
04013422650,2020,0.0,0.0,0.0,1.0,,,04013
04013523006,2020,0.0,0.0,0.0,2.0,,,04013
04013523007,2020,0.0,0.0,0.0,1.0,,,04013
04013610201,2020,0.0,0.0,0.0,1.0,,,04013
04013610302,2020,0.0,0.0,0.0,1.0,,,04013
04013610500,2020,0.0,0.0,0.0,2.0,,,04013
04013610800,2020,0.0,0.0,0.0,1.0,,,04013
04013612200,2020,0.0,0.0,0.0,1.0,,,04013
04013613000,2020,0.0,0.0,0.0,1.0,,,04013
04013613500,2020,0.0,0.0,0.0,1.0,,,04013
04013613601,2020,0.0,0.0,0.0,1.0,,,04013
04013613800,2020,0.0,0.0,0.0,1.0,,,04013
04013613900,2020,0.0,0.0,0.0,2.0,,,04013
04013614200,2020,0.0,0.0,0.0,1.0,,,04013
04013614400,2020,0.0,0.0,0.0,1.0,,,04013
04013614500,2020,0.0,0.0,0.0,1.0,,,04013
04013615700,2020,0.0,0.0,0.0,1.0,,,04013
04013616900,2020,0.0,0.0,0.0,1.0,,,04013
04013618400,2020,0.0,0.0,0.0,1.0,,,04013
04013618900,2020,0.0,0.0,0.0,1.0,,,04013
04013619000,2020,0.0,0.0,0.0,1.0,,,04013
04013619200,2020,0.0,0.0,0.0,1.0,,,04013
04013619500,2020,0.0,0.0,0.0,1.0,,,04013
04013723304,2020,0.0,0.0,0.0,1.0,,,04013
04013723306,2020,0.0,0.0,0.0,2.0,,,04013
04013810100,2020,0.0,0.0,0.0,1.0,,,04013
04013810700,2020,0.0,0.0,0.0,1.0,,,04013
04013811200,2020,0.0,0.0,0.0,1.0,,,04013
04013811600,2020,0.0,0.0,0.0,1.0,,,04013
04013812300,2020,0.0,0.0,0.0,2.0,,,04013
04013812400,2020,0.0,0.0,0.0,1.0,,,04013
04013813000,2020,0.0,0.0,0.0,1.0,,,04013
04013813200,2020,0.0,0.0,0.0,2.0,,,04013
04013813800,2020,0.0,0.0,0.0,1.0,,,04013
04013814100,2020,0.0,0.0,0.0,1.0,,,04013
04013814400,2020,0.0,0.0,0.0,1.0,,,04013
04013814802,2020,0.0,0.0,0.0,2.0,,,04013
04013814900,2020,0.0,0.0,0.0,1.0,,,04013
04013815202,2020,0.0,0.0,0.0,1.0,,,04013
04013815203,2020,0.0,0.0,0.0,1.0,,,04013
04013815401,2020,0.0,0.0,0.0,1.0,,,04013
04013816002,2020,0.0,0.0,0.0,2.0,,,04013
04013816100,2020,0.0,0.0,0.0,1.0,,,04013
04013816301,2020,0.0,0.0,0.0,1.0,,,04013
04013941000,2020,0.0,0.0,0.0,1.0,,,04013
04015951403,2020,0.0,0.0,0.0,1.0,,,04015
04015951602,2020,0.0,0.0,0.0,1.0,,,04015
04015952400,2020,0.0,0.0,0.0,1.0,,,04015
04015952600,2020,0.0,0.0,0.0,1.0,,,04015
04015952701,2020,0.0,0.0,0.0,1.0,,,04015
04015953302,2020,0.0,0.0,0.0,1.0,,,04015
04015953603,2020,0.0,0.0,0.0,1.0,,,04015
04015953901,2020,0.0,0.0,0.0,1.0,,,04015
04015954802,2020,0.0,0.0,0.0,1.0,,,04015
04015954900,2020,0.0,0.0,0.0,1.0,,,04015
04015955001,2020,0.0,0.0,0.0,1.0,,,04015
04019000600,2020,0.0,0.0,0.0,1.0,,,04019
04019001600,2020,0.0,0.0,0.0,1.0,,,04019
04019001801,2020,0.0,0.0,0.0,1.0,,,04019
04019001900,2020,0.0,0.0,0.0,1.0,,,04019
04019002704,2020,0.0,0.0,0.0,1.0,,,04019
04019003302,2020,0.0,0.0,0.0,1.0,,,04019
04019003303,2020,0.0,0.0,0.0,1.0,,,04019
04019003504,2020,0.0,0.0,0.0,1.0,,,04019
04019003903,2020,0.0,0.0,0.0,1.0,,,04019
04019004008,2020,0.0,0.0,0.0,1.0,,,04019
04019004042,2020,0.0,0.0,0.0,1.0,,,04019
04019004046,2020,0.0,0.0,0.0,1.0,,,04019
04019004047,2020,0.0,0.0,0.0,1.0,,,04019
04019004048,2020,0.0,0.0,0.0,1.0,,,04019
04019004049,2020,0.0,0.0,0.0,1.0,,,04019
04019004062,2020,0.0,0.0,0.0,1.0,,,04019
04019004065,2020,0.0,0.0,0.0,1.0,,,04019
04019004077,2020,0.0,0.0,0.0,1.0,,,04019
04019004082,2020,0.0,0.0,0.0,1.0,,,04019
04019004109,2020,0.0,0.0,0.0,1.0,,,04019
04019004126,2020,0.0,0.0,0.0,1.0,,,04019
04019004322,2020,0.0,0.0,0.0,1.0,,,04019
04019004333,2020,0.0,0.0,0.0,1.0,,,04019
04019004340,2020,0.0,0.0,0.0,1.0,,,04019
04019004407,2020,0.0,0.0,0.0,1.0,,,04019
04019004426,2020,0.0,0.0,0.0,1.0,,,04019
04019004428,2020,0.0,0.0,0.0,1.0,,,04019
04019004435,2020,0.0,0.0,0.0,1.0,,,04019
04019004510,2020,0.0,0.0,0.0,1.0,,,04019
04019004610,2020,0.0,0.0,0.0,1.0,,,04019
04019004615,2020,0.0,0.0,0.0,1.0,,,04019
04019004616,2020,0.0,0.0,0.0,1.0,,,04019
04019004617,2020,0.0,0.0,0.0,1.0,,,04019
04019004619,2020,0.0,0.0,0.0,1.0,,,04019
04019004622,2020,0.0,0.0,0.0,1.0,,,04019
04019004623,2020,0.0,0.0,0.0,1.0,,,04019
04019004624,2020,0.0,0.0,0.0,1.0,,,04019
04019004625,2020,0.0,0.0,0.0,1.0,,,04019
04019004635,2020,0.0,0.0,0.0,1.0,,,04019
04019004639,2020,0.0,0.0,0.0,1.0,,,04019
04019004642,2020,0.0,0.0,0.0,2.0,,,04019
04019004645,2020,0.0,0.0,0.0,1.0,,,04019
04019004647,2020,0.0,0.0,0.0,1.0,,,04019
04019004648,2020,0.0,0.0,0.0,1.0,,,04019
04019004714,2020,0.0,0.0,0.0,1.0,,,04019
04019004717,2020,0.0,0.0,0.0,1.0,,,04019
04019004725,2020,0.0,0.0,0.0,1.0,,,04019
04019004726,2020,0.0,0.0,0.0,1.0,,,04019
04021000212,2020,0.0,0.0,0.0,1.0,,,04021
04021000216,2020,0.0,0.0,0.0,1.0,,,04021
04021000226,2020,0.0,0.0,0.0,2.0,,,04021
04021000321,2020,0.0,0.0,0.0,1.0,,,04021
04021000804,2020,0.0,0.0,0.0,1.0,,,04021
04021000903,2020,0.0,0.0,0.0,1.0,,,04021
04021001000,2020,0.0,0.0,0.0,1.0,,,04021
04021001309,2020,0.0,0.0,0.0,1.0,,,04021
04021001310,2020,0.0,0.0,0.0,1.0,,,04021
04021001704,2020,0.0,0.0,0.0,1.0,,,04021
04021002001,2020,0.0,0.0,0.0,1.0,,,04021
04021941402,2020,0.0,0.0,0.0,1.0,,,04021
04023966101,2020,0.0,0.0,0.0,1.0,,,04023
04023966108,2020,0.0,0.0,0.0,1.0,,,04023
04023966109,2020,0.0,0.0,0.0,1.0,,,04023
04025000613,2020,0.0,0.0,0.0,2.0,,,04025
04025001105,2020,0.0,0.0,0.0,2.0,,,04025
04025001201,2020,0.0,0.0,0.0,1.0,,,04025
04025001703,2020,0.0,0.0,0.0,1.0,,,04025
04025001801,2020,0.0,0.0,0.0,1.0,,,04025
04025002002,2020,0.0,0.0,0.0,1.0,,,04025
04027000907,2020,0.0,0.0,0.0,1.0,,,04027
04027000908,2020,0.0,0.0,0.0,1.0,,,04027
04027011107,2020,0.0,0.0,0.0,1.0,,,04027
04027011407,2020,0.0,0.0,0.0,1.0,,,04027
04027011801,2020,0.0,0.0,0.0,1.0,,,04027
05001480200,2020,0.0,0.0,0.0,1.0,,,05001
05001480300,2020,0.0,0.0,0.0,1.0,,,05001
05003960600,2020,0.0,0.0,0.0,1.0,,,05003
05005950400,2020,0.0,0.0,0.0,1.0,,,05005
05007020206,2020,0.0,0.0,0.0,1.0,,,05007
05007020304,2020,0.0,0.0,0.0,1.0,,,05007
05007020305,2020,0.0,0.0,0.0,1.0,,,05007
05007020501,2020,0.0,0.0,0.0,1.0,,,05007
05007020606,2020,0.0,0.0,0.0,1.0,,,05007
05007020608,2020,0.0,0.0,0.0,1.0,,,05007
05007020904,2020,0.0,0.0,0.0,1.0,,,05007
05007021306,2020,0.0,0.0,0.0,2.0,,,05007
05009790501,2020,0.0,0.0,0.0,1.0,,,05009
05011950200,2020,0.0,0.0,0.0,1.0,,,05011
05013480100,2020,0.0,0.0,0.0,2.0,,,05013
05015950302,2020,0.0,0.0,0.0,1.0,,,05015
05017080100,2020,0.0,0.0,0.0,1.0,,,05017
05023480100,2020,0.0,0.0,0.0,1.0,,,05023
05023480400,2020,0.0,0.0,0.0,1.0,,,05023
05025970100,2020,0.0,0.0,0.0,1.0,,,05025
05029950300,2020,0.0,0.0,0.0,1.0,,,05029
05031000401,2020,0.0,0.0,0.0,1.0,,,05031
05031000501,2020,0.0,0.0,0.0,1.0,,,05031
05031000601,2020,0.0,0.0,0.0,1.0,,,05031
05031000804,2020,0.0,0.0,0.0,1.0,,,05031
05033020207,2020,0.0,0.0,0.0,1.0,,,05033
05043490100,2020,0.0,0.0,0.0,2.0,,,05043
05043490500,2020,0.0,0.0,0.0,1.0,,,05043
05045030103,2020,0.0,0.0,0.0,1.0,,,05045
05045031101,2020,0.0,0.0,0.0,1.0,,,05045
05047950100,2020,0.0,0.0,0.0,1.0,,,05047
05051011101,2020,0.0,0.0,0.0,1.0,,,05051
05051011102,2020,0.0,0.0,0.0,1.0,,,05051
05051011300,2020,0.0,0.0,0.0,2.0,,,05051
05051011400,2020,0.0,0.0,0.0,1.0,,,05051
05051011901,2020,0.0,0.0,0.0,1.0,,,05051
05053470300,2020,0.0,0.0,0.0,1.0,,,05053
05053470401,2020,0.0,0.0,0.0,1.0,,,05053
